Year,Surface_Temperature,Run_Type,Model,Simulation
1850,14.926690673828148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1851,15.086663818359398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1852,15.010522460937523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1853,14.826348876953148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1854,14.840844726562523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1855,15.075952148437523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1856,15.058343505859398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1857,15.108911132812523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1858,15.029718017578148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1859,15.005639648437523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1860,15.118524169921898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1861,15.053613281250023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1862,15.004052734375023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1863,14.986749267578148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1864,15.097711181640648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1865,15.301721191406273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1866,15.101647949218773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1867,14.832055664062523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1868,14.975640869140648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1869,15.052270507812523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1870,15.028497314453148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1871,15.192559814453148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1872,15.348840332031273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1873,15.052606201171898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1874,15.001336669921898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1875,15.262750244140648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1876,15.418939208984398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1877,15.196893310546898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1878,15.008233642578148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1879,14.997979736328148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1880,14.995568847656273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1881,15.026147460937523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1882,15.167901611328148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1883,15.047296142578148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1884,14.702813720703148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1885,14.649652099609398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1886,14.766412353515648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1887,14.960351562500023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1888,15.024194335937523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1889,14.821008300781273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1890,14.710504150390648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1891,14.736566162109398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1892,14.983270263671898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1893,15.019036865234398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1894,14.764428710937523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1895,14.767114257812523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1896,14.842706298828148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1897,15.072717285156273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1898,15.159539794921898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1899,15.020074462890648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1900,14.948937988281273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1901,15.115319824218773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1902,15.269097900390648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1903,14.796563720703148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1904,14.870172119140648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1905,14.924768066406273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1906,14.964624023437523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1907,15.088464355468773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1908,15.059564208984398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1909,14.932824707031273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1910,14.988702392578148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1911,15.238854980468773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1912,15.276483154296898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1913,14.834100341796898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1914,14.870599365234398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1915,15.143212890625023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1916,15.347924804687523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1917,15.264459228515648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1918,14.892480468750023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1919,14.928979492187523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1920,15.111138916015648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1921,15.275415039062523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1922,15.158471679687523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1923,14.909844970703148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1924,14.909722900390648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1925,14.957910156250023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1926,15.049401855468773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1927,15.205285644531273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1928,15.252587890625023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1929,15.167108154296898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1930,15.008050537109398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1931,15.102838134765648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1932,15.219445800781273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1933,15.184869384765648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1934,15.204125976562523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1935,15.283135986328148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1936,15.077813720703148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1937,15.003717041015648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1938,15.218560791015648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1939,15.296105957031273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1940,15.439538574218773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1941,15.300622558593773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1942,15.099664306640648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1943,14.969140625000023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1944,15.331689453125023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1945,15.412133789062523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1946,15.156823730468773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1947,15.023980712890648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1948,15.100946044921898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1949,15.251214599609398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1950,15.376306152343773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1951,15.059014892578148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1952,15.059594726562523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1953,15.271508789062523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1954,15.107507324218773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1955,15.109887695312523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1956,15.361749267578148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1957,15.288812255859398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1958,15.098931884765648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1959,15.140679931640648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1960,15.357537841796898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1961,15.473931884765648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1962,15.056176757812523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1963,14.857446289062523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1964,14.816430664062523,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1965,15.019464111328148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1966,15.243798828125023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1967,14.984979248046898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1968,14.924401855468773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1969,15.118829345703148,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1970,15.280023193359398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1971,15.034326171875023,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1972,15.017419433593773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1973,15.167687988281273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1974,15.210900878906273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1975,15.347650146484398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1976,15.238519287109398,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1977,15.009851074218773,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1978,15.095422363281273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1979,15.184136962890648,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1980,15.366906738281273,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1981,15.459832763671898,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
