Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.415643310546898,1.2989197,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1851,13.434564208984398,1.4963226,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1852,13.390527343750023,1.6724548,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1853,13.422723388671898,1.7632141,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1854,13.520135498046898,1.434082,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1855,13.519738769531273,1.7497864,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1856,13.546990966796898,0.97795105,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1857,13.355859375000023,1.579956,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1858,13.375695800781273,1.5323792,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1859,13.379815673828148,1.4453278,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1860,13.350091552734398,1.904541,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1861,13.503778076171898,1.309082,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1862,13.443780517578148,1.1856384,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1863,13.423547363281273,1.5797577,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1864,13.622155761718773,1.5858765,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1865,13.535028076171898,1.4774933,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1866,13.450067138671898,1.6941681,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1867,13.559289550781273,1.7563477,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1868,13.523309326171898,1.5651245,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1869,13.505548095703148,1.4979553,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1870,13.507531738281273,1.5534363,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1871,13.516656494140648,1.602478,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1872,13.552392578125023,1.6545563,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1873,13.479394531250023,1.4857025,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1874,13.513024902343773,2.0205078,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1875,13.634240722656273,1.0220947,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1876,13.423913574218773,2.024994,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1877,13.571588134765648,1.607666,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1878,13.540460205078148,1.1992035,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1879,13.359857177734398,1.962677,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1880,13.500817871093773,1.8331909,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1881,13.693902587890648,0.87506104,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1882,13.596643066406273,1.7484131,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1883,13.619653320312523,0.91308594,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1884,13.501672363281273,0.23646545,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1885,13.378259277343773,1.5732422,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1886,13.546350097656273,1.864151,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1887,13.640130615234398,1.3700256,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1888,13.644250488281273,1.475769,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1889,13.531884765625023,1.6302338,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1890,13.625817871093773,1.5442352,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1891,13.579888916015648,0.8979492,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1892,13.527581787109398,1.8130951,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1893,13.619622802734398,1.6731262,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1894,13.591577148437523,1.1253967,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1895,13.505303955078148,1.8061981,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1896,13.639550781250023,1.1385345,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1897,13.452600097656273,1.9123383,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1898,13.649804687500023,1.7545013,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1899,13.773126220703148,1.0894165,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1900,13.670343017578148,1.3817139,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1901,13.704553222656273,1.453659,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1902,13.606286621093773,1.8050232,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1903,13.702661132812523,0.7898407,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1904,13.615136718750023,1.8229523,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1905,13.604028320312523,1.4017792,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1906,13.621057128906273,1.6069489,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1907,13.774133300781273,1.7169037,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1908,13.779656982421898,0.9682617,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1909,13.589349365234398,1.7383575,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1910,13.705407714843773,1.5945892,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1911,13.878198242187523,0.66604614,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1912,13.556268310546898,1.6599426,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1913,13.635583496093773,1.1821136,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1914,13.628778076171898,1.2895508,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1915,13.520532226562523,2.0846558,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1916,13.682427978515648,1.9692993,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1917,13.813500976562523,1.2431641,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1918,13.715112304687523,1.7799683,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1919,13.801019287109398,1.4345703,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1920,13.682916259765648,1.369461,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1921,13.626550292968773,1.8125916,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1922,13.788964843750023,1.3821259,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1923,13.685693359375023,1.5099792,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1924,13.707543945312523,1.6852722,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1925,13.720513916015648,1.5383606,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1926,13.741815185546898,1.6026306,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1927,13.806665039062523,1.6911926,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1928,13.938195800781273,1.4326019,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1929,13.695214843750023,1.9101105,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1930,13.861108398437523,1.9086609,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1931,13.966394042968773,1.4068909,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
1932,13.781030273437523,1.951355,tas_co2,CNRM-CERFACS_CNRM-ESM2-1,r4i1p1f2
