Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.736840820312523,-0.0030212402,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1851,13.550103759765648,-0.22363281,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1852,13.673425292968773,0.75239563,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1853,13.613824462890648,-0.053375244,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1854,13.595330810546898,-0.1343689,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1855,13.753350830078148,0.5910034,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1856,13.842431640625023,0.13154602,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1857,13.827935791015648,-0.24726868,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1858,13.644830322265648,0.18876648,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1859,13.787805175781273,0.3531494,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1860,13.775476074218773,-0.2844391,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1861,13.597467041015648,0.7470093,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1862,13.518029785156273,-0.87353516,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1863,13.631921386718773,0.82540894,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1864,13.700891113281273,0.59851074,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1865,13.748712158203148,0.6325989,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1866,13.924401855468773,0.12710571,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1867,13.928796386718773,-0.22740173,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1868,13.897546386718773,-0.83236694,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1869,13.717919921875023,0.40141296,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1870,13.826196289062523,-0.01524353,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1871,13.877770996093773,-0.24798584,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1872,13.704156494140648,0.7987213,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1873,13.794030761718773,0.03201294,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1874,13.854028320312523,0.43658447,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1875,13.770898437500023,-0.5141144,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1876,13.737359619140648,0.52145386,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1877,13.810845947265648,0.66729736,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1878,14.038842773437523,0.8222656,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1879,14.134912109375023,-0.47375488,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1880,13.898156738281273,0.06530762,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1881,13.825036621093773,0.5526123,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1882,14.026696777343773,0.04032898,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1883,13.904016113281273,-0.9030304,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1884,13.672082519531273,-0.43270874,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1885,13.777185058593773,0.092163086,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1886,13.828363037109398,0.17147827,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1887,13.786737060546898,-0.10494995,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1888,13.661798095703148,-0.5755615,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1889,13.655175781250023,0.2606964,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1890,13.731347656250023,0.46392822,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1891,13.738214111328148,0.3753662,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
1892,13.730157470703148,0.90501404,tas_co2,NCAR_CESM2-WACCM,r1i1p1f1
