Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,14.001916503906273,1.0751343,tas_fgco2,NCAR_CESM2,r2i1p1f1
1851,14.149316406250023,0.9869232,tas_fgco2,NCAR_CESM2,r2i1p1f1
1852,14.164147949218773,0.42887878,tas_fgco2,NCAR_CESM2,r2i1p1f1
1853,13.945825195312523,0.41552734,tas_fgco2,NCAR_CESM2,r2i1p1f1
1854,13.843865966796898,0.6940613,tas_fgco2,NCAR_CESM2,r2i1p1f1
1855,13.901147460937523,1.6662292,tas_fgco2,NCAR_CESM2,r2i1p1f1
1856,14.107507324218773,0.84773254,tas_fgco2,NCAR_CESM2,r2i1p1f1
1857,14.098413085937523,0.28779602,tas_fgco2,NCAR_CESM2,r2i1p1f1
1858,13.975213623046898,0.815506,tas_fgco2,NCAR_CESM2,r2i1p1f1
1859,14.029473876953148,1.0358124,tas_fgco2,NCAR_CESM2,r2i1p1f1
1860,14.170404052734398,1.2462921,tas_fgco2,NCAR_CESM2,r2i1p1f1
1861,14.174523925781273,0.0041656494,tas_fgco2,NCAR_CESM2,r2i1p1f1
1862,13.924096679687523,0.10612488,tas_fgco2,NCAR_CESM2,r2i1p1f1
1863,13.739465332031273,0.051513672,tas_fgco2,NCAR_CESM2,r2i1p1f1
1864,13.790887451171898,1.3978271,tas_fgco2,NCAR_CESM2,r2i1p1f1
1865,14.036981201171898,1.123169,tas_fgco2,NCAR_CESM2,r2i1p1f1
1866,14.242272949218773,0.42826843,tas_fgco2,NCAR_CESM2,r2i1p1f1
1867,14.013574218750023,0.9393463,tas_fgco2,NCAR_CESM2,r2i1p1f1
1868,13.985772705078148,0.9904938,tas_fgco2,NCAR_CESM2,r2i1p1f1
1869,13.857354736328148,0.77537537,tas_fgco2,NCAR_CESM2,r2i1p1f1
1870,13.989617919921898,1.442688,tas_fgco2,NCAR_CESM2,r2i1p1f1
1871,14.131829833984398,0.041900635,tas_fgco2,NCAR_CESM2,r2i1p1f1
1872,13.996942138671898,0.38194275,tas_fgco2,NCAR_CESM2,r2i1p1f1
1873,14.051782226562523,1.4192505,tas_fgco2,NCAR_CESM2,r2i1p1f1
1874,14.205926513671898,0.46879578,tas_fgco2,NCAR_CESM2,r2i1p1f1
1875,14.072503662109398,1.209259,tas_fgco2,NCAR_CESM2,r2i1p1f1
1876,14.279199218750023,-0.24453735,tas_fgco2,NCAR_CESM2,r2i1p1f1
1877,13.913507080078148,0.17504883,tas_fgco2,NCAR_CESM2,r2i1p1f1
1878,13.778863525390648,0.63386536,tas_fgco2,NCAR_CESM2,r2i1p1f1
1879,13.818597412109398,1.4068298,tas_fgco2,NCAR_CESM2,r2i1p1f1
1880,13.854119873046898,0.50138855,tas_fgco2,NCAR_CESM2,r2i1p1f1
1881,13.915277099609398,1.234436,tas_fgco2,NCAR_CESM2,r2i1p1f1
1882,14.102685546875023,0.7692108,tas_fgco2,NCAR_CESM2,r2i1p1f1
1883,13.972711181640648,0.83943176,tas_fgco2,NCAR_CESM2,r2i1p1f1
1884,13.920495605468773,-0.086013794,tas_fgco2,NCAR_CESM2,r2i1p1f1
1885,13.967736816406273,-0.5009155,tas_fgco2,NCAR_CESM2,r2i1p1f1
1886,13.860650634765648,0.8852844,tas_fgco2,NCAR_CESM2,r2i1p1f1
1887,13.922631835937523,0.78486633,tas_fgco2,NCAR_CESM2,r2i1p1f1
1888,13.937585449218773,1.3278503,tas_fgco2,NCAR_CESM2,r2i1p1f1
1889,13.987359619140648,1.3441162,tas_fgco2,NCAR_CESM2,r2i1p1f1
1890,14.089196777343773,-0.08798218,tas_fgco2,NCAR_CESM2,r2i1p1f1
1891,13.986901855468773,0.97917175,tas_fgco2,NCAR_CESM2,r2i1p1f1
1892,13.916925048828148,0.51460266,tas_fgco2,NCAR_CESM2,r2i1p1f1
1893,13.944818115234398,1.4147644,tas_fgco2,NCAR_CESM2,r2i1p1f1
1894,14.178277587890648,0.4064026,tas_fgco2,NCAR_CESM2,r2i1p1f1
1895,14.122094726562523,0.9582672,tas_fgco2,NCAR_CESM2,r2i1p1f1
1896,14.097467041015648,1.1965637,tas_fgco2,NCAR_CESM2,r2i1p1f1
1897,14.052911376953148,-0.001953125,tas_fgco2,NCAR_CESM2,r2i1p1f1
1898,14.107202148437523,1.3366699,tas_fgco2,NCAR_CESM2,r2i1p1f1
1899,14.189416503906273,0.6552582,tas_fgco2,NCAR_CESM2,r2i1p1f1
1900,14.222467041015648,-0.53189087,tas_fgco2,NCAR_CESM2,r2i1p1f1
1901,13.996270751953148,1.1006012,tas_fgco2,NCAR_CESM2,r2i1p1f1
1902,14.188806152343773,0.6247101,tas_fgco2,NCAR_CESM2,r2i1p1f1
1903,13.932519531250023,-0.5059509,tas_fgco2,NCAR_CESM2,r2i1p1f1
1904,13.817712402343773,1.1886597,tas_fgco2,NCAR_CESM2,r2i1p1f1
1905,13.913812255859398,1.1732941,tas_fgco2,NCAR_CESM2,r2i1p1f1
1906,14.052423095703148,1.0833435,tas_fgco2,NCAR_CESM2,r2i1p1f1
1907,14.021478271484398,0.7293396,tas_fgco2,NCAR_CESM2,r2i1p1f1
1908,14.009027099609398,-0.11605835,tas_fgco2,NCAR_CESM2,r2i1p1f1
1909,13.830407714843773,0.5754547,tas_fgco2,NCAR_CESM2,r2i1p1f1
1910,13.939416503906273,0.7859497,tas_fgco2,NCAR_CESM2,r2i1p1f1
1911,13.998193359375023,0.81788635,tas_fgco2,NCAR_CESM2,r2i1p1f1
1912,13.954492187500023,0.63072205,tas_fgco2,NCAR_CESM2,r2i1p1f1
1913,14.124261474609398,-0.037872314,tas_fgco2,NCAR_CESM2,r2i1p1f1
1914,14.006433105468773,0.6134796,tas_fgco2,NCAR_CESM2,r2i1p1f1
1915,14.086511230468773,1.6141968,tas_fgco2,NCAR_CESM2,r2i1p1f1
1916,14.089593505859398,0.3899994,tas_fgco2,NCAR_CESM2,r2i1p1f1
1917,14.043389892578148,0.5775604,tas_fgco2,NCAR_CESM2,r2i1p1f1
1918,14.096337890625023,1.2565155,tas_fgco2,NCAR_CESM2,r2i1p1f1
1919,14.248742675781273,0.32817078,tas_fgco2,NCAR_CESM2,r2i1p1f1
1920,14.056604003906273,1.1637726,tas_fgco2,NCAR_CESM2,r2i1p1f1
1921,14.111322021484398,0.94166565,tas_fgco2,NCAR_CESM2,r2i1p1f1
1922,14.186608886718773,0.67515564,tas_fgco2,NCAR_CESM2,r2i1p1f1
1923,14.209558105468773,0.9420929,tas_fgco2,NCAR_CESM2,r2i1p1f1
1924,14.184350585937523,0.72424316,tas_fgco2,NCAR_CESM2,r2i1p1f1
1925,14.230615234375023,0.31111145,tas_fgco2,NCAR_CESM2,r2i1p1f1
1926,14.071557617187523,0.11820984,tas_fgco2,NCAR_CESM2,r2i1p1f1
1927,14.037469482421898,1.29039,tas_fgco2,NCAR_CESM2,r2i1p1f1
1928,14.169885253906273,1.4205017,tas_fgco2,NCAR_CESM2,r2i1p1f1
1929,14.129754638671898,-0.044647217,tas_fgco2,NCAR_CESM2,r2i1p1f1
1930,13.913690185546898,0.9211731,tas_fgco2,NCAR_CESM2,r2i1p1f1
1931,14.119836425781273,1.576889,tas_fgco2,NCAR_CESM2,r2i1p1f1
1932,14.083886718750023,0.26924133,tas_fgco2,NCAR_CESM2,r2i1p1f1
1933,14.183496093750023,0.99542236,tas_fgco2,NCAR_CESM2,r2i1p1f1
1934,14.232629394531273,-0.09429932,tas_fgco2,NCAR_CESM2,r2i1p1f1
1935,14.064874267578148,0.57785034,tas_fgco2,NCAR_CESM2,r2i1p1f1
1936,14.086236572265648,1.2301788,tas_fgco2,NCAR_CESM2,r2i1p1f1
1937,14.150048828125023,1.3369293,tas_fgco2,NCAR_CESM2,r2i1p1f1
1938,14.185784912109398,0.71295166,tas_fgco2,NCAR_CESM2,r2i1p1f1
1939,14.307122802734398,1.1500549,tas_fgco2,NCAR_CESM2,r2i1p1f1
1940,14.487023925781273,0.5341339,tas_fgco2,NCAR_CESM2,r2i1p1f1
1941,14.435632324218773,0.7279968,tas_fgco2,NCAR_CESM2,r2i1p1f1
1942,14.545190429687523,0.76638794,tas_fgco2,NCAR_CESM2,r2i1p1f1
1943,14.392999267578148,0.17286682,tas_fgco2,NCAR_CESM2,r2i1p1f1
1944,14.198693847656273,0.8782654,tas_fgco2,NCAR_CESM2,r2i1p1f1
1945,14.217218017578148,0.6596832,tas_fgco2,NCAR_CESM2,r2i1p1f1
1946,14.270989990234398,1.1044312,tas_fgco2,NCAR_CESM2,r2i1p1f1
1947,14.302484130859398,1.1481934,tas_fgco2,NCAR_CESM2,r2i1p1f1
1948,14.476403808593773,0.22451782,tas_fgco2,NCAR_CESM2,r2i1p1f1
1949,14.211114501953148,0.55529785,tas_fgco2,NCAR_CESM2,r2i1p1f1
1950,14.133477783203148,1.7400055,tas_fgco2,NCAR_CESM2,r2i1p1f1
1951,14.386437988281273,0.9847717,tas_fgco2,NCAR_CESM2,r2i1p1f1
1952,14.471124267578148,-0.28167725,tas_fgco2,NCAR_CESM2,r2i1p1f1
1953,14.100732421875023,0.7130127,tas_fgco2,NCAR_CESM2,r2i1p1f1
1954,14.194390869140648,1.2365723,tas_fgco2,NCAR_CESM2,r2i1p1f1
1955,14.372430419921898,1.0220032,tas_fgco2,NCAR_CESM2,r2i1p1f1
1956,14.329858398437523,0.08157349,tas_fgco2,NCAR_CESM2,r2i1p1f1
1957,14.525415039062523,0.5633087,tas_fgco2,NCAR_CESM2,r2i1p1f1
1958,14.328790283203148,-0.18811035,tas_fgco2,NCAR_CESM2,r2i1p1f1
1959,14.173211669921898,0.7540741,tas_fgco2,NCAR_CESM2,r2i1p1f1
1960,14.066491699218773,0.46002197,tas_fgco2,NCAR_CESM2,r2i1p1f1
1961,14.194757080078148,1.4700317,tas_fgco2,NCAR_CESM2,r2i1p1f1
1962,14.261987304687523,0.31854248,tas_fgco2,NCAR_CESM2,r2i1p1f1
1963,14.056573486328148,-0.44308472,tas_fgco2,NCAR_CESM2,r2i1p1f1
1964,14.044885253906273,-0.09007263,tas_fgco2,NCAR_CESM2,r2i1p1f1
1965,14.148461914062523,0.9888611,tas_fgco2,NCAR_CESM2,r2i1p1f1
1966,14.166558837890648,-0.041763306,tas_fgco2,NCAR_CESM2,r2i1p1f1
1967,13.926660156250023,0.6861267,tas_fgco2,NCAR_CESM2,r2i1p1f1
1968,14.067224121093773,1.329834,tas_fgco2,NCAR_CESM2,r2i1p1f1
1969,14.094323730468773,1.0431671,tas_fgco2,NCAR_CESM2,r2i1p1f1
1970,14.113671875000023,0.95970154,tas_fgco2,NCAR_CESM2,r2i1p1f1
1971,14.291375732421898,0.5493927,tas_fgco2,NCAR_CESM2,r2i1p1f1
1972,14.381036376953148,0.36271667,tas_fgco2,NCAR_CESM2,r2i1p1f1
1973,14.271478271484398,0.9928131,tas_fgco2,NCAR_CESM2,r2i1p1f1
1974,14.326837158203148,0.9831085,tas_fgco2,NCAR_CESM2,r2i1p1f1
1975,14.326379394531273,0.14529419,tas_fgco2,NCAR_CESM2,r2i1p1f1
1976,14.296289062500023,0.35694885,tas_fgco2,NCAR_CESM2,r2i1p1f1
1977,14.355676269531273,0.65774536,tas_fgco2,NCAR_CESM2,r2i1p1f1
