Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,12.731469726562523,0.74832153,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1851,12.910668945312523,0.6585846,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1852,12.976678466796898,-0.04484558,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1853,12.697869873046898,1.3700562,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1854,12.860742187500023,0.30155945,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1855,12.753320312500023,0.30654907,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1856,12.751489257812523,0.4396515,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1857,12.790521240234398,-0.7140045,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1858,12.587579345703148,0.33547974,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1859,12.657586669921898,0.7832489,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1860,12.736627197265648,-0.36436462,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1861,12.541101074218773,0.47148132,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1862,12.625207519531273,-0.28323364,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1863,12.469171142578148,0.62983704,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1864,12.634606933593773,0.8307495,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1865,12.830621337890648,0.33787537,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1866,12.760766601562523,0.3144989,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1867,12.629541015625023,0.7536316,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1868,12.873284912109398,0.5422363,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1869,12.926995849609398,-0.27330017,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1870,12.588494873046898,1.2546082,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1871,12.776086425781273,0.78985596,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1872,12.946343994140648,-0.24804688,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1873,12.735101318359398,0.5912323,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1874,12.822778320312523,0.58514404,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1875,12.860650634765648,0.31950378,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1876,12.787774658203148,0.59051514,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1877,13.007012939453148,0.19541931,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
1878,12.944848632812523,0.053970337,tas_toa,CAS_FGOALS-f3-L,r1i1p1f1
