Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.031945800781273,1.1589813,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1851,12.823968505859398,1.8319397,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1852,12.894952392578148,1.5113525,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1853,12.904260253906273,1.7501831,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1854,12.849328613281273,1.8713226,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1855,12.811395263671898,1.8505554,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1856,12.793939208984398,1.7660065,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1857,12.772241210937523,2.1125793,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1858,12.834741210937523,2.2151794,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1859,13.018121337890648,1.757782,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1860,12.890710449218773,2.0276184,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1861,12.866265869140648,1.5900574,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1862,12.905419921875023,1.4004059,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1863,12.783593750000023,1.8611908,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1864,12.908502197265648,2.114746,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1865,13.027062988281273,1.9346008,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1866,13.040612792968773,1.9269562,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1867,12.998956298828148,1.8774261,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1868,13.045068359375023,1.8937225,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1869,12.903405761718773,2.235733,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1870,12.947808837890648,1.8560181,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1871,12.951684570312523,1.9864349,tas_toa,CAS_FGOALS-g3,r1i1p1f1
