Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.360131835937523,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1851,13.503869628906273,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1852,13.448205566406273,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1853,13.338464355468773,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1854,13.371911621093773,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1855,13.452233886718773,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1856,13.386895751953148,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1857,13.377404785156273,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1858,13.369622802734398,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1859,13.321038818359398,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1860,13.365045166015648,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1861,13.377099609375023,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1862,13.214501953125023,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1863,13.294549560546898,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1864,13.232568359375023,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1865,13.343255615234398,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1866,13.271997070312523,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1867,13.366113281250023,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1868,13.565820312500023,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1869,13.384851074218773,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1870,13.325097656250023,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1871,13.268609619140648,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1872,13.391473388671898,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1873,13.226434326171898,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1874,13.259301757812523,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1875,13.284631347656273,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1876,13.254357910156273,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1877,13.266381835937523,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1878,13.254418945312523,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1879,13.210198974609398,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1880,13.241815185546898,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1881,13.227716064453148,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1882,13.161401367187523,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1883,13.044244384765648,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1884,12.883782958984398,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1885,12.921899414062523,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1886,13.066827392578148,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1887,13.180627441406273,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1888,13.120935058593773,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1889,13.226159667968773,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1890,13.120599365234398,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1891,13.107507324218773,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
1892,13.245355224609398,tas_toa,FIO-QLNM_FIO-ESM-2-0,r1i1p1f1
