Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.228051757812523,1.6665039,tas_toa,INM_INM-CM5-0,r1i1p1f1
1851,13.199914550781273,1.6547546,tas_toa,INM_INM-CM5-0,r1i1p1f1
1852,13.165673828125023,1.5795898,tas_toa,INM_INM-CM5-0,r1i1p1f1
1853,13.205712890625023,1.6880798,tas_toa,INM_INM-CM5-0,r1i1p1f1
1854,13.190972900390648,1.8314362,tas_toa,INM_INM-CM5-0,r1i1p1f1
1855,13.263116455078148,1.766983,tas_toa,INM_INM-CM5-0,r1i1p1f1
1856,13.242364501953148,1.733078,tas_toa,INM_INM-CM5-0,r1i1p1f1
1857,13.249566650390648,1.8372955,tas_toa,INM_INM-CM5-0,r1i1p1f1
1858,13.242578125000023,1.6529694,tas_toa,INM_INM-CM5-0,r1i1p1f1
1859,13.229516601562523,1.4727936,tas_toa,INM_INM-CM5-0,r1i1p1f1
1860,13.257714843750023,1.7879791,tas_toa,INM_INM-CM5-0,r1i1p1f1
1861,13.204858398437523,1.1183777,tas_toa,INM_INM-CM5-0,r1i1p1f1
1862,13.149896240234398,1.3769836,tas_toa,INM_INM-CM5-0,r1i1p1f1
1863,13.030480957031273,1.6041718,tas_toa,INM_INM-CM5-0,r1i1p1f1
1864,13.120843505859398,1.8920746,tas_toa,INM_INM-CM5-0,r1i1p1f1
1865,13.192681884765648,1.5357819,tas_toa,INM_INM-CM5-0,r1i1p1f1
1866,13.194238281250023,1.7475586,tas_toa,INM_INM-CM5-0,r1i1p1f1
1867,13.182000732421898,1.6591797,tas_toa,INM_INM-CM5-0,r1i1p1f1
1868,13.192346191406273,2.0788422,tas_toa,INM_INM-CM5-0,r1i1p1f1
1869,13.262109375000023,1.804596,tas_toa,INM_INM-CM5-0,r1i1p1f1
1870,13.264794921875023,1.9157104,tas_toa,INM_INM-CM5-0,r1i1p1f1
1871,13.167993164062523,2.013214,tas_toa,INM_INM-CM5-0,r1i1p1f1
1872,13.216455078125023,1.404602,tas_toa,INM_INM-CM5-0,r1i1p1f1
