Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,14.926690673828148,1.102066,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1851,15.086663818359398,0.5833893,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1852,15.010522460937523,0.61938477,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1853,14.826348876953148,1.0954132,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1854,14.840844726562523,1.2987366,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1855,15.075952148437523,1.0446777,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1856,15.058343505859398,0.93367004,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1857,15.108911132812523,0.86325073,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1858,15.029718017578148,1.0165558,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1859,15.005639648437523,1.1570435,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1860,15.118524169921898,0.9838257,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1861,15.053613281250023,0.6668701,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1862,15.004052734375023,0.90605164,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1863,14.986749267578148,0.9330292,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1864,15.097711181640648,1.0266876,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1865,15.301721191406273,0.6748047,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1866,15.101647949218773,0.7066498,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1867,14.832055664062523,1.3209991,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1868,14.975640869140648,1.6497192,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1869,15.052270507812523,1.007782,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1870,15.028497314453148,1.1910095,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1871,15.192559814453148,1.2402039,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1872,15.348840332031273,0.37805176,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1873,15.052606201171898,0.6849823,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1874,15.001336669921898,1.5404663,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1875,15.262750244140648,1.1306,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1876,15.418939208984398,0.46847534,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1877,15.196893310546898,0.49987793,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1878,15.008233642578148,0.7156372,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1879,14.997979736328148,0.916687,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1880,14.995568847656273,0.7063446,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1881,15.026147460937523,1.0791168,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1882,15.167901611328148,0.7775879,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1883,15.047296142578148,0.04689026,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
1884,14.702813720703148,-0.60780334,tas_toa,MIROC_MIROC-ES2L,r1i1p1f2
