Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.995812988281273,-0.9556885,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1851,14.015130615234398,0.9122009,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1852,13.910302734375023,0.0062408447,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1853,13.880273437500023,1.3720245,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1854,14.145043945312523,0.46847534,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1855,14.142053222656273,-1.4133911,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1856,13.790643310546898,-0.7740631,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1857,13.762261962890648,0.46002197,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1858,13.757714843750023,0.111450195,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1859,13.785180664062523,0.16127014,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1860,13.860162353515648,0.004470825,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1861,13.753961181640648,-0.18696594,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1862,13.773614501953148,0.19021606,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1863,13.863122558593773,0.22798157,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1864,14.010980224609398,0.21665955,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1865,14.069635009765648,-0.28329468,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1866,14.241815185546898,0.4785614,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1867,14.202569580078148,-1.6164093,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1868,13.852136230468773,-0.007095337,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1869,13.822686767578148,0.46487427,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1870,13.755731201171898,-0.24687195,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1871,13.875421142578148,0.9759979,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1872,13.920495605468773,0.49679565,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1873,13.910058593750023,0.9366913,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1874,14.173181152343773,-0.073638916,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1875,14.065728759765648,-1.4782257,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1876,13.898614501953148,0.5239563,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1877,14.135736083984398,-0.43608093,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1878,13.962640380859398,-1.0256958,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1879,13.841851806640648,0.359787,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1880,13.858178710937523,0.94929504,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1881,14.168054199218773,0.10592651,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1882,14.040917968750023,-1.6127167,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1883,13.713922119140648,-1.0024567,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1884,13.421807861328148,-1.3086243,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1885,13.389733886718773,0.35598755,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1886,13.663537597656273,1.0776672,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1887,13.751794433593773,-0.0026397705,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1888,13.879327392578148,0.68663025,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1889,13.894525146484398,-0.77371216,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1890,13.712548828125023,0.009124756,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1891,13.684411621093773,0.20697021,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1892,13.814782714843773,-0.060256958,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1893,13.694512939453148,0.28961182,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1894,13.823358154296898,-0.02305603,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1895,13.760675048828148,0.0861969,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1896,13.840386962890648,0.6107178,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1897,13.892541503906273,-0.23912048,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1898,13.931207275390648,-0.057678223,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1899,14.029565429687523,0.7319946,tas_toa,NCC_NorESM2-MM,r1i1p1f1
