Year,Surface_Temperature,Run_Type,Model,Simulation
1850,12.567041015625023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1851,12.503167724609398,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1852,12.618035888671898,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1853,12.695458984375023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1854,12.730187988281273,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1855,12.588952636718773,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1856,12.690393066406273,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1857,12.701165771484398,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1858,12.789544677734398,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1859,12.882348632812523,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1860,12.756616210937523,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1861,12.804772949218773,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1862,12.771142578125023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1863,12.702233886718773,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1864,12.670465087890648,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1865,12.661492919921898,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1866,12.847528076171898,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1867,13.075799560546898,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1868,12.876245117187523,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1869,12.711511230468773,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1870,12.819879150390648,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1871,12.907373046875023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1872,12.738427734375023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1873,12.787286376953148,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1874,12.771142578125023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1875,12.890771484375023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1876,12.883538818359398,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1877,12.753961181640648,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1878,12.707574462890648,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1879,12.809960937500023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1880,12.828668212890648,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1881,12.824273681640648,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1882,13.011346435546898,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1883,12.859521484375023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1884,12.477441406250023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1885,12.375543212890648,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1886,12.661035156250023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1887,12.760522460937523,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
1888,12.866113281250023,tas_co2,IPSL_IPSL-CM6A-LR,r3i1p1f1
