Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.854699707031273,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1851,13.807061767578148,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1852,13.938958740234398,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1853,14.045648193359398,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1854,13.861230468750023,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1855,13.655114746093773,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1856,13.693566894531273,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1857,13.639855957031273,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1858,13.720727539062523,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1859,13.920526123046898,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1860,13.790307617187523,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1861,13.668023681640648,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1862,13.666101074218773,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1863,13.746209716796898,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1864,13.738549804687523,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1865,13.748162841796898,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1866,13.864099121093773,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1867,13.951531982421898,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1868,13.943170166015648,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1869,13.933740234375023,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1870,13.956018066406273,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1871,13.898065185546898,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1872,13.915185546875023,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1873,13.877618408203148,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1874,13.980432128906273,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1875,14.073571777343773,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1876,13.749108886718773,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1877,13.858789062500023,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1878,13.931787109375023,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1879,13.925866699218773,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1880,13.918481445312523,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1881,13.925897216796898,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1882,13.838372802734398,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1883,13.912866210937523,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1884,13.718682861328148,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1885,13.583795166015648,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1886,13.519708251953148,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1887,13.610284423828148,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1888,13.617852783203148,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1889,13.700097656250023,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1890,13.739343261718773,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1891,13.710778808593773,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1892,13.762750244140648,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1893,13.720849609375023,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1894,13.891290283203148,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1895,13.944848632812523,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
1896,13.912988281250023,tas_co2,NCAR_CESM2-WACCM,r2i1p1f1
