Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.693414306640648,tas_co2,NCAR_CESM2,r3i1p1f1
1851,13.874414062500023,tas_co2,NCAR_CESM2,r3i1p1f1
1852,13.803582763671898,tas_co2,NCAR_CESM2,r3i1p1f1
1853,13.721551513671898,tas_co2,NCAR_CESM2,r3i1p1f1
1854,13.789849853515648,tas_co2,NCAR_CESM2,r3i1p1f1
1855,14.138604736328148,tas_co2,NCAR_CESM2,r3i1p1f1
1856,14.097222900390648,tas_co2,NCAR_CESM2,r3i1p1f1
1857,14.101342773437523,tas_co2,NCAR_CESM2,r3i1p1f1
1858,14.103723144531273,tas_co2,NCAR_CESM2,r3i1p1f1
1859,14.019555664062523,tas_co2,NCAR_CESM2,r3i1p1f1
1860,14.015924072265648,tas_co2,NCAR_CESM2,r3i1p1f1
1861,14.017449951171898,tas_co2,NCAR_CESM2,r3i1p1f1
1862,13.997796630859398,tas_co2,NCAR_CESM2,r3i1p1f1
1863,13.770837402343773,tas_co2,NCAR_CESM2,r3i1p1f1
1864,13.863305664062523,tas_co2,NCAR_CESM2,r3i1p1f1
1865,14.087060546875023,tas_co2,NCAR_CESM2,r3i1p1f1
1866,14.223931884765648,tas_co2,NCAR_CESM2,r3i1p1f1
1867,14.180230712890648,tas_co2,NCAR_CESM2,r3i1p1f1
1868,14.001275634765648,tas_co2,NCAR_CESM2,r3i1p1f1
1869,13.918603515625023,tas_co2,NCAR_CESM2,r3i1p1f1
1870,14.072137451171898,tas_co2,NCAR_CESM2,r3i1p1f1
1871,14.023309326171898,tas_co2,NCAR_CESM2,r3i1p1f1
1872,14.091943359375023,tas_co2,NCAR_CESM2,r3i1p1f1
1873,14.025018310546898,tas_co2,NCAR_CESM2,r3i1p1f1
1874,14.007135009765648,tas_co2,NCAR_CESM2,r3i1p1f1
1875,14.044702148437523,tas_co2,NCAR_CESM2,r3i1p1f1
1876,14.189538574218773,tas_co2,NCAR_CESM2,r3i1p1f1
1877,14.383874511718773,tas_co2,NCAR_CESM2,r3i1p1f1
1878,14.202416992187523,tas_co2,NCAR_CESM2,r3i1p1f1
1879,14.155358886718773,tas_co2,NCAR_CESM2,r3i1p1f1
1880,14.191400146484398,tas_co2,NCAR_CESM2,r3i1p1f1
1881,14.237969970703148,tas_co2,NCAR_CESM2,r3i1p1f1
1882,13.995355224609398,tas_co2,NCAR_CESM2,r3i1p1f1
1883,14.112542724609398,tas_co2,NCAR_CESM2,r3i1p1f1
1884,13.982751464843773,tas_co2,NCAR_CESM2,r3i1p1f1
1885,13.945855712890648,tas_co2,NCAR_CESM2,r3i1p1f1
1886,13.868615722656273,tas_co2,NCAR_CESM2,r3i1p1f1
1887,13.962731933593773,tas_co2,NCAR_CESM2,r3i1p1f1
1888,14.132379150390648,tas_co2,NCAR_CESM2,r3i1p1f1
1889,14.283776855468773,tas_co2,NCAR_CESM2,r3i1p1f1
1890,14.029168701171898,tas_co2,NCAR_CESM2,r3i1p1f1
1891,14.068872070312523,tas_co2,NCAR_CESM2,r3i1p1f1
1892,14.186608886718773,tas_co2,NCAR_CESM2,r3i1p1f1
1893,14.178704833984398,tas_co2,NCAR_CESM2,r3i1p1f1
1894,14.073693847656273,tas_co2,NCAR_CESM2,r3i1p1f1
1895,13.926354980468773,tas_co2,NCAR_CESM2,r3i1p1f1
1896,13.939111328125023,tas_co2,NCAR_CESM2,r3i1p1f1
1897,14.099816894531273,tas_co2,NCAR_CESM2,r3i1p1f1
1898,14.249902343750023,tas_co2,NCAR_CESM2,r3i1p1f1
1899,14.270013427734398,tas_co2,NCAR_CESM2,r3i1p1f1
1900,13.961083984375023,tas_co2,NCAR_CESM2,r3i1p1f1
1901,14.002282714843773,tas_co2,NCAR_CESM2,r3i1p1f1
1902,14.085321044921898,tas_co2,NCAR_CESM2,r3i1p1f1
1903,14.021691894531273,tas_co2,NCAR_CESM2,r3i1p1f1
1904,14.111779785156273,tas_co2,NCAR_CESM2,r3i1p1f1
1905,14.228509521484398,tas_co2,NCAR_CESM2,r3i1p1f1
1906,14.191278076171898,tas_co2,NCAR_CESM2,r3i1p1f1
1907,14.069726562500023,tas_co2,NCAR_CESM2,r3i1p1f1
1908,14.059320068359398,tas_co2,NCAR_CESM2,r3i1p1f1
1909,14.136560058593773,tas_co2,NCAR_CESM2,r3i1p1f1
1910,14.185906982421898,tas_co2,NCAR_CESM2,r3i1p1f1
1911,14.179284667968773,tas_co2,NCAR_CESM2,r3i1p1f1
1912,13.972894287109398,tas_co2,NCAR_CESM2,r3i1p1f1
1913,13.976770019531273,tas_co2,NCAR_CESM2,r3i1p1f1
1914,14.042596435546898,tas_co2,NCAR_CESM2,r3i1p1f1
1915,14.281060791015648,tas_co2,NCAR_CESM2,r3i1p1f1
1916,14.170129394531273,tas_co2,NCAR_CESM2,r3i1p1f1
1917,14.171868896484398,tas_co2,NCAR_CESM2,r3i1p1f1
1918,14.151116943359398,tas_co2,NCAR_CESM2,r3i1p1f1
1919,14.273553466796898,tas_co2,NCAR_CESM2,r3i1p1f1
1920,14.280297851562523,tas_co2,NCAR_CESM2,r3i1p1f1
1921,14.208367919921898,tas_co2,NCAR_CESM2,r3i1p1f1
1922,14.023828125000023,tas_co2,NCAR_CESM2,r3i1p1f1
1923,14.061853027343773,tas_co2,NCAR_CESM2,r3i1p1f1
1924,14.171716308593773,tas_co2,NCAR_CESM2,r3i1p1f1
1925,14.201745605468773,tas_co2,NCAR_CESM2,r3i1p1f1
1926,14.301477050781273,tas_co2,NCAR_CESM2,r3i1p1f1
1927,14.184869384765648,tas_co2,NCAR_CESM2,r3i1p1f1
1928,14.310693359375023,tas_co2,NCAR_CESM2,r3i1p1f1
1929,14.350915527343773,tas_co2,NCAR_CESM2,r3i1p1f1
1930,14.161401367187523,tas_co2,NCAR_CESM2,r3i1p1f1
1931,14.296289062500023,tas_co2,NCAR_CESM2,r3i1p1f1
1932,14.276849365234398,tas_co2,NCAR_CESM2,r3i1p1f1
1933,14.198297119140648,tas_co2,NCAR_CESM2,r3i1p1f1
1934,14.403253173828148,tas_co2,NCAR_CESM2,r3i1p1f1
1935,14.510095214843773,tas_co2,NCAR_CESM2,r3i1p1f1
1936,14.330773925781273,tas_co2,NCAR_CESM2,r3i1p1f1
1937,14.282830810546898,tas_co2,NCAR_CESM2,r3i1p1f1
1938,14.459497070312523,tas_co2,NCAR_CESM2,r3i1p1f1
1939,14.172448730468773,tas_co2,NCAR_CESM2,r3i1p1f1
1940,14.005181884765648,tas_co2,NCAR_CESM2,r3i1p1f1
1941,14.087670898437523,tas_co2,NCAR_CESM2,r3i1p1f1
1942,14.241418457031273,tas_co2,NCAR_CESM2,r3i1p1f1
1943,14.353509521484398,tas_co2,NCAR_CESM2,r3i1p1f1
1944,14.227929687500023,tas_co2,NCAR_CESM2,r3i1p1f1
1945,14.212945556640648,tas_co2,NCAR_CESM2,r3i1p1f1
1946,14.396112060546898,tas_co2,NCAR_CESM2,r3i1p1f1
1947,14.458032226562523,tas_co2,NCAR_CESM2,r3i1p1f1
1948,14.354394531250023,tas_co2,NCAR_CESM2,r3i1p1f1
1949,14.313439941406273,tas_co2,NCAR_CESM2,r3i1p1f1
1950,14.448754882812523,tas_co2,NCAR_CESM2,r3i1p1f1
1951,14.347131347656273,tas_co2,NCAR_CESM2,r3i1p1f1
1952,14.224328613281273,tas_co2,NCAR_CESM2,r3i1p1f1
1953,13.943536376953148,tas_co2,NCAR_CESM2,r3i1p1f1
1954,14.098443603515648,tas_co2,NCAR_CESM2,r3i1p1f1
1955,14.323571777343773,tas_co2,NCAR_CESM2,r3i1p1f1
1956,14.054223632812523,tas_co2,NCAR_CESM2,r3i1p1f1
1957,14.124780273437523,tas_co2,NCAR_CESM2,r3i1p1f1
1958,14.311761474609398,tas_co2,NCAR_CESM2,r3i1p1f1
1959,14.177148437500023,tas_co2,NCAR_CESM2,r3i1p1f1
1960,14.221032714843773,tas_co2,NCAR_CESM2,r3i1p1f1
1961,14.291894531250023,tas_co2,NCAR_CESM2,r3i1p1f1
1962,14.216607666015648,tas_co2,NCAR_CESM2,r3i1p1f1
1963,14.197106933593773,tas_co2,NCAR_CESM2,r3i1p1f1
1964,14.157739257812523,tas_co2,NCAR_CESM2,r3i1p1f1
1965,14.000268554687523,tas_co2,NCAR_CESM2,r3i1p1f1
1966,14.017236328125023,tas_co2,NCAR_CESM2,r3i1p1f1
1967,14.039880371093773,tas_co2,NCAR_CESM2,r3i1p1f1
1968,14.078027343750023,tas_co2,NCAR_CESM2,r3i1p1f1
1969,14.301568603515648,tas_co2,NCAR_CESM2,r3i1p1f1
