Year,Surface_Temperature,Run_Type,Model,Simulation
1850,12.979791259765648,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1851,13.001092529296898,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1852,12.910363769531273,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1853,12.893243408203148,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1854,13.072808837890648,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1855,12.971612548828148,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1856,12.952203369140648,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1857,13.072991943359398,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1858,13.045831298828148,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1859,13.071954345703148,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1860,12.771051025390648,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1861,12.904870605468773,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1862,13.032617187500023,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1863,12.807000732421898,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1864,12.995019531250023,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1865,12.989434814453148,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1866,12.996636962890648,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1867,13.016473388671898,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1868,13.021936035156273,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1869,13.047875976562523,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1870,12.951837158203148,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1871,12.985925292968773,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1872,13.074212646484398,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1873,13.108789062500023,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1874,12.898675537109398,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1875,12.973016357421898,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1876,12.968438720703148,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
1877,13.001000976562523,tas_fgco2,CNRM-CERFACS_CNRM-CM6-1,r8i1p1f2
