Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.576715087890648,0.59098816,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1851,13.619714355468773,0.5508423,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1852,13.699822998046898,-0.07940674,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1853,13.581201171875023,-0.34921265,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1854,13.421197509765648,0.5001831,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1855,13.657403564453148,0.3191986,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1856,13.761315917968773,0.18258667,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1857,13.737908935546898,0.18943787,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1858,13.657159423828148,0.19906616,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1859,13.678369140625023,0.3732605,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1860,13.695886230468773,0.2587433,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1861,13.620568847656273,-0.31074524,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1862,13.551751708984398,-0.2649994,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1863,13.610009765625023,0.13270569,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1864,13.738427734375023,0.4444275,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1865,13.822381591796898,0.38407898,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1866,13.810968017578148,0.28459167,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1867,13.711541748046898,0.17645264,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1868,13.562127685546898,0.43391418,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1869,13.594628906250023,0.59025574,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1870,13.698388671875023,0.010757446,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1871,13.712976074218773,0.09109497,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1872,13.626489257812523,-0.2277832,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1873,13.477929687500023,0.07185364,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1874,13.444268798828148,0.34439087,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1875,13.578363037109398,0.34594727,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1876,13.642388916015648,0.05543518,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1877,13.592309570312523,0.41815186,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
1878,13.589685058593773,0.077682495,tas_fgco2,MOHC_HadGEM3-GC31-LL,r1i1p1f3
