Year,Surface_Temperature,Run_Type,Model,Simulation
1850,14.187432861328148,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1851,14.352319335937523,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1852,14.075372314453148,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1853,14.033563232421898,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1854,13.980554199218773,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1855,14.047631835937523,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1856,13.922692871093773,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1857,14.263269042968773,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1858,14.272149658203148,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1859,13.974786376953148,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1860,13.933618164062523,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1861,14.100396728515648,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1862,14.212640380859398,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1863,14.342218017578148,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1864,14.038995361328148,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1865,13.803613281250023,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1866,14.037469482421898,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1867,14.378076171875023,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1868,14.365106201171898,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1869,14.100762939453148,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
1870,14.116357421875023,tas_fgco2,NASA-GISS_GISS-E2-1-G,r4i1p3f1
