Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.640740966796898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1851,13.735375976562523,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1852,13.850762939453148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1853,13.766198730468773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1854,13.592248535156273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1855,13.724511718750023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1856,13.721978759765648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1857,13.823693847656273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1858,13.753442382812523,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1859,13.677087402343773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1860,13.588616943359398,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1861,13.649713134765648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1862,13.568811035156273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1863,13.643029785156273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1864,13.751580810546898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1865,13.934899902343773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1866,13.860223388671898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1867,13.865106201171898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1868,13.881921386718773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1869,13.850671386718773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1870,13.989617919921898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1871,14.098046875000023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1872,14.045770263671898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1873,14.158197021484398,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1874,13.891229248046898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1875,13.934869384765648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1876,14.051934814453148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1877,13.972375488281273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1878,13.950097656250023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1879,14.069940185546898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1880,13.782586669921898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1881,13.894891357421898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1882,13.986535644531273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1883,13.944421386718773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1884,13.748895263671898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1885,13.719628906250023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1886,13.949334716796898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1887,13.920281982421898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1888,13.819665527343773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1889,13.983758544921898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1890,14.063195800781273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1891,14.001641845703148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1892,13.787927246093773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1893,14.039636230468773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1894,14.149133300781273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1895,14.005273437500023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1896,13.832330322265648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1897,14.019372558593773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1898,14.062524414062523,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1899,14.048120117187523,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1900,14.053063964843773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1901,14.043115234375023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1902,13.843286132812523,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1903,13.758325195312523,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1904,13.818475341796898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1905,13.797509765625023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1906,13.820245361328148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1907,13.774133300781273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1908,13.859918212890648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1909,13.949304199218773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1910,13.711389160156273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1911,13.788049316406273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1912,13.807611083984398,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1913,13.758416748046898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1914,13.843438720703148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1915,13.985284423828148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1916,13.954553222656273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1917,13.885644531250023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1918,13.883721923828148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1919,13.959283447265648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1920,14.143701171875023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1921,14.176812744140648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1922,14.173181152343773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1923,14.186029052734398,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1924,14.129266357421898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1925,13.847863769531273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1926,13.806329345703148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1927,13.887017822265648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1928,14.027764892578148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1929,14.027612304687523,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1930,14.023339843750023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1931,13.947381591796898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1932,13.940362548828148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1933,13.900262451171898,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1934,14.096154785156273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1935,14.162744140625023,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1936,14.199517822265648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1937,14.140161132812523,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1938,14.155786132812523,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1939,14.236260986328148,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1940,14.213464355468773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1941,13.970269775390648,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1942,13.965051269531273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1943,13.952722167968773,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
1944,13.954309082031273,tas_fgco2,NCAR_CESM2-WACCM,r3i1p1f1
