Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.031945800781273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1851,12.823968505859398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1852,12.894952392578148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1853,12.904260253906273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1854,12.849328613281273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1855,12.811395263671898,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1856,12.793939208984398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1857,12.772241210937523,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1858,12.834741210937523,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1859,13.018121337890648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1860,12.890710449218773,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1861,12.866265869140648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1862,12.905419921875023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1863,12.783593750000023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1864,12.908502197265648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1865,13.027062988281273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1866,13.040612792968773,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1867,12.998956298828148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1868,13.045068359375023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1869,12.903405761718773,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1870,12.947808837890648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1871,12.951684570312523,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1872,12.932794189453148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1873,12.835290527343773,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1874,12.694543457031273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1875,12.827447509765648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1876,12.810998535156273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1877,12.858636474609398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1878,12.807244873046898,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1879,12.824212646484398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1880,12.908135986328148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1881,12.780084228515648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1882,12.874017333984398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1883,12.839196777343773,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1884,12.658837890625023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1885,12.748010253906273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1886,12.810449218750023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1887,12.845666503906273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1888,12.790124511718773,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1889,12.841638183593773,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1890,12.838525390625023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1891,12.909814453125023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1892,12.911676025390648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1893,12.925653076171898,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1894,12.977685546875023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1895,12.816552734375023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1896,12.744805908203148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1897,12.919152832031273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1898,12.918054199218773,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1899,12.991418457031273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1900,12.875665283203148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1901,12.784875488281273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1902,12.891351318359398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1903,12.768914794921898,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1904,12.696343994140648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1905,12.705499267578148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1906,12.657281494140648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1907,12.807336425781273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1908,12.885308837890648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1909,12.864434814453148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1910,12.789270019531273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1911,12.968988037109398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1912,12.871972656250023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1913,12.703088378906273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1914,12.742730712890648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1915,13.044915771484398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1916,12.991113281250023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1917,13.012872314453148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1918,13.205255126953148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1919,13.052941894531273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1920,12.935266113281273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1921,13.004418945312523,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1922,13.015618896484398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1923,12.877832031250023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1924,12.993524169921898,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1925,12.950067138671898,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1926,12.945306396484398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1927,13.043664550781273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1928,13.014184570312523,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1929,12.981896972656273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1930,13.057275390625023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1931,13.039971923828148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1932,12.886193847656273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1933,12.947076416015648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1934,13.008966064453148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1935,13.084130859375023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1936,13.171075439453148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1937,13.078332519531273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1938,13.137994384765648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1939,13.136102294921898,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1940,13.124566650390648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1941,13.259210205078148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1942,13.218957519531273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1943,13.102929687500023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1944,13.265435791015648,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1945,13.154748535156273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1946,13.141015625000023,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1947,13.217706298828148,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1948,13.195184326171898,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1949,13.209497070312523,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1950,13.372430419921898,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1951,13.255639648437523,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1952,13.141320800781273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1953,13.153802490234398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1954,13.281243896484398,tas_toa,CAS_FGOALS-g3,r1i1p1f1
1955,13.155969238281273,tas_toa,CAS_FGOALS-g3,r1i1p1f1
