Year,Surface_Temperature,Run_Type,Model,Simulation
1850,12.870751953125023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1851,12.875299072265648,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1852,12.880944824218773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1853,12.772637939453148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1854,12.853997802734398,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1855,12.988458251953148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1856,12.806787109375023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1857,13.007470703125023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1858,12.861291503906273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1859,12.871545410156273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1860,12.785180664062523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1861,12.851831054687523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1862,12.916528320312523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1863,12.932489013671898,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1864,12.762170410156273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1865,12.889855957031273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1866,13.048425292968773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1867,12.963922119140648,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1868,12.943688964843773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1869,13.014947509765648,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1870,13.064111328125023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1871,13.097711181640648,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1872,12.961022949218773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1873,12.968316650390648,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1874,12.997064208984398,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1875,13.075280761718773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1876,12.803521728515648,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1877,12.856103515625023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1878,12.923120117187523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1879,12.919702148437523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1880,13.085290527343773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1881,13.056756591796898,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1882,12.963311767578148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1883,12.966973876953148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1884,12.906182861328148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1885,12.767114257812523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1886,12.964257812500023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1887,13.181604003906273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1888,13.076470947265648,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1889,13.088037109375023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1890,12.924310302734398,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1891,13.040979003906273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1892,13.131799316406273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1893,13.020440673828148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1894,12.953576660156273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1895,13.047723388671898,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1896,13.119561767578148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1897,13.062951660156273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1898,13.156091308593773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1899,13.037927246093773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1900,12.953668212890648,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1901,13.065820312500023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1902,13.111535644531273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1903,13.129479980468773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1904,12.980249023437523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1905,13.151391601562523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1906,13.071191406250023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1907,12.966363525390648,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1908,13.106835937500023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1909,13.111016845703148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1910,13.019616699218773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1911,13.224938964843773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1912,13.119073486328148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1913,12.952172851562523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1914,12.990625000000023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1915,13.018487548828148,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1916,13.072625732421898,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1917,13.025964355468773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1918,13.047570800781273,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1919,13.130364990234398,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1920,13.099114990234398,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1921,13.044946289062523,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1922,13.130761718750023,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
1923,13.063806152343773,tas_toa,CNRM-CERFACS_CNRM-CM6-1,r9i1p1f2
