Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,14.637353515625023,-0.5070038,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1851,14.516595458984398,-0.27008057,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1852,14.454278564453148,0.118392944,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1853,14.475000000000023,-0.04408264,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1854,14.588128662109398,-0.2150116,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1855,14.494256591796898,-0.123428345,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1856,14.590234375000023,-0.3330841,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1857,14.493127441406273,-0.08226013,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1858,14.370416259765648,-0.29042053,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1859,14.424798583984398,0.29077148,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1860,14.454888916015648,0.1678772,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1861,14.454705810546898,-0.41514587,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1862,14.425653076171898,-0.30299377,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1863,14.586846923828148,0.03111267,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1864,14.627038574218773,-0.64276123,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1865,14.494134521484398,0.043502808,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1866,14.544519042968773,0.104400635,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1867,14.670587158203148,0.27290344,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1868,14.642877197265648,-0.44314575,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
1869,14.530633544921898,-0.3965912,tas_toa,CSIRO_ACCESS-ESM1-5,r1i1p1f1
