Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.920404052734398,0.759964,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1851,13.856378173828148,0.7640228,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1852,13.872430419921898,0.89131165,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1853,13.849572753906273,1.1940002,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1854,13.815301513671898,0.45005798,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1855,13.733697509765648,0.83384705,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1856,13.730371093750023,0.9456024,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1857,13.800439453125023,1.3183289,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1858,13.829614257812523,0.7983093,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1859,13.821923828125023,0.85902405,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1860,13.825219726562523,1.0552673,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1861,13.838403320312523,0.91426086,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1862,13.891503906250023,1.3868561,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1863,13.902917480468773,0.74076843,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1864,13.861108398437523,0.95951843,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1865,13.845910644531273,0.9237366,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1866,13.782159423828148,1.4146729,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1867,13.973809814453148,1.0606842,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1868,13.775628662109398,0.48316956,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1869,13.718652343750023,1.1721191,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1870,13.792108154296898,0.9040375,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1871,13.789208984375023,0.94667053,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1872,13.776818847656273,1.4865875,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1873,13.875177001953148,1.5659637,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1874,13.946038818359398,0.7200165,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1875,13.902795410156273,1.0540466,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
1876,13.901025390625023,1.266571,tas_toa,MRI_MRI-ESM2-0,r4i1p1f1
