Year,Surface_Temperature,Run_Type,Model,Simulation
1850,14.001916503906273,tas_toa,NCAR_CESM2,r2i1p1f1
1851,14.149316406250023,tas_toa,NCAR_CESM2,r2i1p1f1
1852,14.164147949218773,tas_toa,NCAR_CESM2,r2i1p1f1
1853,13.945825195312523,tas_toa,NCAR_CESM2,r2i1p1f1
1854,13.843865966796898,tas_toa,NCAR_CESM2,r2i1p1f1
1855,13.901147460937523,tas_toa,NCAR_CESM2,r2i1p1f1
1856,14.107507324218773,tas_toa,NCAR_CESM2,r2i1p1f1
1857,14.098413085937523,tas_toa,NCAR_CESM2,r2i1p1f1
1858,13.975213623046898,tas_toa,NCAR_CESM2,r2i1p1f1
1859,14.029473876953148,tas_toa,NCAR_CESM2,r2i1p1f1
1860,14.170404052734398,tas_toa,NCAR_CESM2,r2i1p1f1
1861,14.174523925781273,tas_toa,NCAR_CESM2,r2i1p1f1
1862,13.924096679687523,tas_toa,NCAR_CESM2,r2i1p1f1
1863,13.739465332031273,tas_toa,NCAR_CESM2,r2i1p1f1
1864,13.790887451171898,tas_toa,NCAR_CESM2,r2i1p1f1
1865,14.036981201171898,tas_toa,NCAR_CESM2,r2i1p1f1
1866,14.242272949218773,tas_toa,NCAR_CESM2,r2i1p1f1
1867,14.013574218750023,tas_toa,NCAR_CESM2,r2i1p1f1
1868,13.985772705078148,tas_toa,NCAR_CESM2,r2i1p1f1
1869,13.857354736328148,tas_toa,NCAR_CESM2,r2i1p1f1
1870,13.989617919921898,tas_toa,NCAR_CESM2,r2i1p1f1
1871,14.131829833984398,tas_toa,NCAR_CESM2,r2i1p1f1
1872,13.996942138671898,tas_toa,NCAR_CESM2,r2i1p1f1
1873,14.051782226562523,tas_toa,NCAR_CESM2,r2i1p1f1
1874,14.205926513671898,tas_toa,NCAR_CESM2,r2i1p1f1
1875,14.072503662109398,tas_toa,NCAR_CESM2,r2i1p1f1
1876,14.279199218750023,tas_toa,NCAR_CESM2,r2i1p1f1
1877,13.913507080078148,tas_toa,NCAR_CESM2,r2i1p1f1
1878,13.778863525390648,tas_toa,NCAR_CESM2,r2i1p1f1
1879,13.818597412109398,tas_toa,NCAR_CESM2,r2i1p1f1
1880,13.854119873046898,tas_toa,NCAR_CESM2,r2i1p1f1
1881,13.915277099609398,tas_toa,NCAR_CESM2,r2i1p1f1
1882,14.102685546875023,tas_toa,NCAR_CESM2,r2i1p1f1
1883,13.972711181640648,tas_toa,NCAR_CESM2,r2i1p1f1
1884,13.920495605468773,tas_toa,NCAR_CESM2,r2i1p1f1
1885,13.967736816406273,tas_toa,NCAR_CESM2,r2i1p1f1
1886,13.860650634765648,tas_toa,NCAR_CESM2,r2i1p1f1
1887,13.922631835937523,tas_toa,NCAR_CESM2,r2i1p1f1
1888,13.937585449218773,tas_toa,NCAR_CESM2,r2i1p1f1
1889,13.987359619140648,tas_toa,NCAR_CESM2,r2i1p1f1
1890,14.089196777343773,tas_toa,NCAR_CESM2,r2i1p1f1
1891,13.986901855468773,tas_toa,NCAR_CESM2,r2i1p1f1
1892,13.916925048828148,tas_toa,NCAR_CESM2,r2i1p1f1
1893,13.944818115234398,tas_toa,NCAR_CESM2,r2i1p1f1
1894,14.178277587890648,tas_toa,NCAR_CESM2,r2i1p1f1
1895,14.122094726562523,tas_toa,NCAR_CESM2,r2i1p1f1
1896,14.097467041015648,tas_toa,NCAR_CESM2,r2i1p1f1
1897,14.052911376953148,tas_toa,NCAR_CESM2,r2i1p1f1
1898,14.107202148437523,tas_toa,NCAR_CESM2,r2i1p1f1
1899,14.189416503906273,tas_toa,NCAR_CESM2,r2i1p1f1
1900,14.222467041015648,tas_toa,NCAR_CESM2,r2i1p1f1
1901,13.996270751953148,tas_toa,NCAR_CESM2,r2i1p1f1
1902,14.188806152343773,tas_toa,NCAR_CESM2,r2i1p1f1
1903,13.932519531250023,tas_toa,NCAR_CESM2,r2i1p1f1
1904,13.817712402343773,tas_toa,NCAR_CESM2,r2i1p1f1
1905,13.913812255859398,tas_toa,NCAR_CESM2,r2i1p1f1
1906,14.052423095703148,tas_toa,NCAR_CESM2,r2i1p1f1
1907,14.021478271484398,tas_toa,NCAR_CESM2,r2i1p1f1
1908,14.009027099609398,tas_toa,NCAR_CESM2,r2i1p1f1
1909,13.830407714843773,tas_toa,NCAR_CESM2,r2i1p1f1
1910,13.939416503906273,tas_toa,NCAR_CESM2,r2i1p1f1
1911,13.998193359375023,tas_toa,NCAR_CESM2,r2i1p1f1
1912,13.954492187500023,tas_toa,NCAR_CESM2,r2i1p1f1
1913,14.124261474609398,tas_toa,NCAR_CESM2,r2i1p1f1
1914,14.006433105468773,tas_toa,NCAR_CESM2,r2i1p1f1
1915,14.086511230468773,tas_toa,NCAR_CESM2,r2i1p1f1
1916,14.089593505859398,tas_toa,NCAR_CESM2,r2i1p1f1
1917,14.043389892578148,tas_toa,NCAR_CESM2,r2i1p1f1
1918,14.096337890625023,tas_toa,NCAR_CESM2,r2i1p1f1
1919,14.248742675781273,tas_toa,NCAR_CESM2,r2i1p1f1
1920,14.056604003906273,tas_toa,NCAR_CESM2,r2i1p1f1
1921,14.111322021484398,tas_toa,NCAR_CESM2,r2i1p1f1
1922,14.186608886718773,tas_toa,NCAR_CESM2,r2i1p1f1
1923,14.209558105468773,tas_toa,NCAR_CESM2,r2i1p1f1
1924,14.184350585937523,tas_toa,NCAR_CESM2,r2i1p1f1
1925,14.230615234375023,tas_toa,NCAR_CESM2,r2i1p1f1
1926,14.071557617187523,tas_toa,NCAR_CESM2,r2i1p1f1
1927,14.037469482421898,tas_toa,NCAR_CESM2,r2i1p1f1
1928,14.169885253906273,tas_toa,NCAR_CESM2,r2i1p1f1
1929,14.129754638671898,tas_toa,NCAR_CESM2,r2i1p1f1
1930,13.913690185546898,tas_toa,NCAR_CESM2,r2i1p1f1
1931,14.119836425781273,tas_toa,NCAR_CESM2,r2i1p1f1
1932,14.083886718750023,tas_toa,NCAR_CESM2,r2i1p1f1
1933,14.183496093750023,tas_toa,NCAR_CESM2,r2i1p1f1
1934,14.232629394531273,tas_toa,NCAR_CESM2,r2i1p1f1
1935,14.064874267578148,tas_toa,NCAR_CESM2,r2i1p1f1
1936,14.086236572265648,tas_toa,NCAR_CESM2,r2i1p1f1
1937,14.150048828125023,tas_toa,NCAR_CESM2,r2i1p1f1
1938,14.185784912109398,tas_toa,NCAR_CESM2,r2i1p1f1
1939,14.307122802734398,tas_toa,NCAR_CESM2,r2i1p1f1
1940,14.487023925781273,tas_toa,NCAR_CESM2,r2i1p1f1
1941,14.435632324218773,tas_toa,NCAR_CESM2,r2i1p1f1
1942,14.545190429687523,tas_toa,NCAR_CESM2,r2i1p1f1
1943,14.392999267578148,tas_toa,NCAR_CESM2,r2i1p1f1
1944,14.198693847656273,tas_toa,NCAR_CESM2,r2i1p1f1
1945,14.217218017578148,tas_toa,NCAR_CESM2,r2i1p1f1
1946,14.270989990234398,tas_toa,NCAR_CESM2,r2i1p1f1
1947,14.302484130859398,tas_toa,NCAR_CESM2,r2i1p1f1
1948,14.476403808593773,tas_toa,NCAR_CESM2,r2i1p1f1
1949,14.211114501953148,tas_toa,NCAR_CESM2,r2i1p1f1
1950,14.133477783203148,tas_toa,NCAR_CESM2,r2i1p1f1
1951,14.386437988281273,tas_toa,NCAR_CESM2,r2i1p1f1
1952,14.471124267578148,tas_toa,NCAR_CESM2,r2i1p1f1
1953,14.100732421875023,tas_toa,NCAR_CESM2,r2i1p1f1
1954,14.194390869140648,tas_toa,NCAR_CESM2,r2i1p1f1
1955,14.372430419921898,tas_toa,NCAR_CESM2,r2i1p1f1
1956,14.329858398437523,tas_toa,NCAR_CESM2,r2i1p1f1
1957,14.525415039062523,tas_toa,NCAR_CESM2,r2i1p1f1
1958,14.328790283203148,tas_toa,NCAR_CESM2,r2i1p1f1
1959,14.173211669921898,tas_toa,NCAR_CESM2,r2i1p1f1
1960,14.066491699218773,tas_toa,NCAR_CESM2,r2i1p1f1
1961,14.194757080078148,tas_toa,NCAR_CESM2,r2i1p1f1
1962,14.261987304687523,tas_toa,NCAR_CESM2,r2i1p1f1
1963,14.056573486328148,tas_toa,NCAR_CESM2,r2i1p1f1
1964,14.044885253906273,tas_toa,NCAR_CESM2,r2i1p1f1
1965,14.148461914062523,tas_toa,NCAR_CESM2,r2i1p1f1
1966,14.166558837890648,tas_toa,NCAR_CESM2,r2i1p1f1
1967,13.926660156250023,tas_toa,NCAR_CESM2,r2i1p1f1
1968,14.067224121093773,tas_toa,NCAR_CESM2,r2i1p1f1
1969,14.094323730468773,tas_toa,NCAR_CESM2,r2i1p1f1
1970,14.113671875000023,tas_toa,NCAR_CESM2,r2i1p1f1
1971,14.291375732421898,tas_toa,NCAR_CESM2,r2i1p1f1
1972,14.381036376953148,tas_toa,NCAR_CESM2,r2i1p1f1
1973,14.271478271484398,tas_toa,NCAR_CESM2,r2i1p1f1
1974,14.326837158203148,tas_toa,NCAR_CESM2,r2i1p1f1
1975,14.326379394531273,tas_toa,NCAR_CESM2,r2i1p1f1
1976,14.296289062500023,tas_toa,NCAR_CESM2,r2i1p1f1
1977,14.355676269531273,tas_toa,NCAR_CESM2,r2i1p1f1
1978,14.616937255859398,tas_toa,NCAR_CESM2,r2i1p1f1
1979,14.564874267578148,tas_toa,NCAR_CESM2,r2i1p1f1
1980,14.300805664062523,tas_toa,NCAR_CESM2,r2i1p1f1
1981,14.417657470703148,tas_toa,NCAR_CESM2,r2i1p1f1
1982,14.433343505859398,tas_toa,NCAR_CESM2,r2i1p1f1
1983,14.238031005859398,tas_toa,NCAR_CESM2,r2i1p1f1
1984,14.415216064453148,tas_toa,NCAR_CESM2,r2i1p1f1
1985,14.425378417968773,tas_toa,NCAR_CESM2,r2i1p1f1
1986,14.323510742187523,tas_toa,NCAR_CESM2,r2i1p1f1
1987,14.280236816406273,tas_toa,NCAR_CESM2,r2i1p1f1
1988,14.236505126953148,tas_toa,NCAR_CESM2,r2i1p1f1
1989,14.431115722656273,tas_toa,NCAR_CESM2,r2i1p1f1
1990,14.593133544921898,tas_toa,NCAR_CESM2,r2i1p1f1
1991,14.448083496093773,tas_toa,NCAR_CESM2,r2i1p1f1
1992,14.423913574218773,tas_toa,NCAR_CESM2,r2i1p1f1
1993,14.224359130859398,tas_toa,NCAR_CESM2,r2i1p1f1
1994,14.448693847656273,tas_toa,NCAR_CESM2,r2i1p1f1
1995,14.758264160156273,tas_toa,NCAR_CESM2,r2i1p1f1
1996,14.744714355468773,tas_toa,NCAR_CESM2,r2i1p1f1
1997,14.781091308593773,tas_toa,NCAR_CESM2,r2i1p1f1
1998,14.610101318359398,tas_toa,NCAR_CESM2,r2i1p1f1
1999,14.677362060546898,tas_toa,NCAR_CESM2,r2i1p1f1
2000,14.783654785156273,tas_toa,NCAR_CESM2,r2i1p1f1
2001,15.106286621093773,tas_toa,NCAR_CESM2,r2i1p1f1
2002,15.048699951171898,tas_toa,NCAR_CESM2,r2i1p1f1
2003,14.721795654296898,tas_toa,NCAR_CESM2,r2i1p1f1
2004,14.826104736328148,tas_toa,NCAR_CESM2,r2i1p1f1
2005,15.039849853515648,tas_toa,NCAR_CESM2,r2i1p1f1
2006,15.135461425781273,tas_toa,NCAR_CESM2,r2i1p1f1
2007,15.274957275390648,tas_toa,NCAR_CESM2,r2i1p1f1
2008,14.899713134765648,tas_toa,NCAR_CESM2,r2i1p1f1
2009,15.006768798828148,tas_toa,NCAR_CESM2,r2i1p1f1
2010,15.203698730468773,tas_toa,NCAR_CESM2,r2i1p1f1
2011,15.363580322265648,tas_toa,NCAR_CESM2,r2i1p1f1
2012,15.129724121093773,tas_toa,NCAR_CESM2,r2i1p1f1
2013,15.249841308593773,tas_toa,NCAR_CESM2,r2i1p1f1
2014,15.358331298828148,tas_toa,NCAR_CESM2,r2i1p1f1
2015,15.244989013671898,tas_toa,NCAR_CESM2,r2i1p1f1
2016,15.304528808593773,tas_toa,NCAR_CESM2,r2i1p1f1
2017,15.150842285156273,tas_toa,NCAR_CESM2,r2i1p1f1
2018,15.145928955078148,tas_toa,NCAR_CESM2,r2i1p1f1
2019,15.270959472656273,tas_toa,NCAR_CESM2,r2i1p1f1
2020,15.079888916015648,tas_toa,NCAR_CESM2,r2i1p1f1
2021,15.296411132812523,tas_toa,NCAR_CESM2,r2i1p1f1
2022,15.360620117187523,tas_toa,NCAR_CESM2,r2i1p1f1
2023,15.311547851562523,tas_toa,NCAR_CESM2,r2i1p1f1
2024,15.482904052734398,tas_toa,NCAR_CESM2,r2i1p1f1
2025,15.487756347656273,tas_toa,NCAR_CESM2,r2i1p1f1
2026,15.349908447265648,tas_toa,NCAR_CESM2,r2i1p1f1
2027,15.528588867187523,tas_toa,NCAR_CESM2,r2i1p1f1
2028,15.636499023437523,tas_toa,NCAR_CESM2,r2i1p1f1
2029,15.500817871093773,tas_toa,NCAR_CESM2,r2i1p1f1
2030,15.660119628906273,tas_toa,NCAR_CESM2,r2i1p1f1
2031,15.697564697265648,tas_toa,NCAR_CESM2,r2i1p1f1
2032,15.477502441406273,tas_toa,NCAR_CESM2,r2i1p1f1
2033,15.440423583984398,tas_toa,NCAR_CESM2,r2i1p1f1
2034,15.492211914062523,tas_toa,NCAR_CESM2,r2i1p1f1
2035,15.578576660156273,tas_toa,NCAR_CESM2,r2i1p1f1
2036,15.800317382812523,tas_toa,NCAR_CESM2,r2i1p1f1
2037,15.850305175781273,tas_toa,NCAR_CESM2,r2i1p1f1
2038,15.762048339843773,tas_toa,NCAR_CESM2,r2i1p1f1
2039,16.025415039062523,tas_toa,NCAR_CESM2,r2i1p1f1
2040,15.927850341796898,tas_toa,NCAR_CESM2,r2i1p1f1
2041,15.910577392578148,tas_toa,NCAR_CESM2,r2i1p1f1
2042,16.054467773437523,tas_toa,NCAR_CESM2,r2i1p1f1
2043,16.037255859375023,tas_toa,NCAR_CESM2,r2i1p1f1
2044,15.995141601562523,tas_toa,NCAR_CESM2,r2i1p1f1
2045,16.094903564453148,tas_toa,NCAR_CESM2,r2i1p1f1
2046,16.042871093750023,tas_toa,NCAR_CESM2,r2i1p1f1
2047,16.102532958984398,tas_toa,NCAR_CESM2,r2i1p1f1
2048,16.253747558593773,tas_toa,NCAR_CESM2,r2i1p1f1
2049,16.255090332031273,tas_toa,NCAR_CESM2,r2i1p1f1
