Year,Surface_Temperature,Run_Type,Model,Simulation
1850,14.492761230468773,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1851,14.392907714843773,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1852,14.569970703125023,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1853,14.611505126953148,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1854,14.824365234375023,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1855,14.674798583984398,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1856,14.736627197265648,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1857,14.713769531250023,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1858,14.626062011718773,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1859,14.607659912109398,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1860,14.878167724609398,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1861,14.731317138671898,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1862,14.639459228515648,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1863,14.539575195312523,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1864,14.705834960937523,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1865,14.539514160156273,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1866,14.467004394531273,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1867,14.522851562500023,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1868,14.678338623046898,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1869,14.871759033203148,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1870,14.816094970703148,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1871,14.461724853515648,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1872,14.464959716796898,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1873,14.696252441406273,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1874,14.560784912109398,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1875,14.632379150390648,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1876,14.616845703125023,tas_toa,NCC_NorESM2-LM,r2i1p1f1
1877,14.761651611328148,tas_toa,NCC_NorESM2-LM,r2i1p1f1
