Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.206292724609398,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1851,13.363763427734398,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1852,13.424432373046898,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1853,13.425714111328148,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1854,13.195520019531273,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1855,13.321984863281273,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1856,13.488000488281273,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1857,13.414941406250023,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1858,13.267755126953148,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1859,13.200799560546898,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1860,13.379357910156273,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1861,13.229241943359398,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1862,13.164361572265648,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1863,13.344659423828148,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1864,13.381646728515648,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1865,13.380395507812523,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1866,13.524194335937523,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1867,13.521234130859398,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1868,13.435021972656273,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1869,13.391046142578148,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1870,13.354974365234398,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1871,13.356805419921898,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1872,13.366784667968773,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1873,13.533288574218773,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1874,13.506646728515648,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1875,13.333398437500023,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1876,13.492761230468773,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1877,13.506158447265648,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1878,13.286035156250023,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1879,13.398706054687523,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1880,13.484277343750023,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1881,13.461816406250023,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1882,13.515496826171898,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1883,13.424829101562523,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1884,12.952874755859398,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1885,12.993157958984398,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1886,13.123712158203148,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1887,13.244287109375023,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1888,13.331323242187523,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1889,13.366235351562523,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1890,13.285089111328148,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1891,13.328057861328148,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1892,13.306268310546898,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1893,13.290490722656273,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1894,13.524621582031273,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1895,13.602044677734398,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1896,13.461022949218773,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1897,13.398889160156273,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1898,13.366601562500023,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1899,13.355798339843773,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1900,13.448999023437523,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1901,13.486260986328148,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1902,13.433953857421898,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
1903,13.238763427734398,tas_toa,NOAA-GFDL_GFDL-ESM4,r2i1p1f1
