Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,14.055688476562523,0.5706024,tas_co2,NCAR_CESM2,r1i1p1f1
1851,14.146997070312523,0.2334137,tas_co2,NCAR_CESM2,r1i1p1f1
1852,13.984643554687523,1.0066833,tas_co2,NCAR_CESM2,r1i1p1f1
1853,13.987481689453148,0.68092346,tas_co2,NCAR_CESM2,r1i1p1f1
1854,13.949670410156273,-0.03916931,tas_co2,NCAR_CESM2,r1i1p1f1
1855,13.803552246093773,1.0599518,tas_co2,NCAR_CESM2,r1i1p1f1
1856,13.929864501953148,0.7716522,tas_co2,NCAR_CESM2,r1i1p1f1
1857,14.024530029296898,0.30210876,tas_co2,NCAR_CESM2,r1i1p1f1
1858,13.895166015625023,1.4559174,tas_co2,NCAR_CESM2,r1i1p1f1
1859,14.049432373046898,1.603714,tas_co2,NCAR_CESM2,r1i1p1f1
1860,14.162957763671898,0.3202057,tas_co2,NCAR_CESM2,r1i1p1f1
1861,14.036553955078148,0.9432373,tas_co2,NCAR_CESM2,r1i1p1f1
1862,14.184503173828148,0.07496643,tas_co2,NCAR_CESM2,r1i1p1f1
1863,14.164239501953148,0.27059937,tas_co2,NCAR_CESM2,r1i1p1f1
1864,14.150811767578148,0.5469818,tas_co2,NCAR_CESM2,r1i1p1f1
1865,14.047937011718773,0.5330963,tas_co2,NCAR_CESM2,r1i1p1f1
1866,14.133294677734398,0.56944275,tas_co2,NCAR_CESM2,r1i1p1f1
1867,13.987237548828148,0.21676636,tas_co2,NCAR_CESM2,r1i1p1f1
1868,13.929650878906273,1.0197754,tas_co2,NCAR_CESM2,r1i1p1f1
1869,13.995050048828148,0.6040344,tas_co2,NCAR_CESM2,r1i1p1f1
1870,13.940484619140648,1.0176239,tas_co2,NCAR_CESM2,r1i1p1f1
1871,13.980859375000023,1.4967957,tas_co2,NCAR_CESM2,r1i1p1f1
1872,14.215600585937523,1.1093903,tas_co2,NCAR_CESM2,r1i1p1f1
1873,14.174462890625023,-0.770813,tas_co2,NCAR_CESM2,r1i1p1f1
1874,13.953088378906273,1.2082367,tas_co2,NCAR_CESM2,r1i1p1f1
1875,14.023553466796898,0.5372162,tas_co2,NCAR_CESM2,r1i1p1f1
