Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.854699707031273,-0.108947754,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1851,13.807061767578148,0.6868744,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1852,13.938958740234398,0.97714233,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1853,14.045648193359398,-0.13259888,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1854,13.861230468750023,-0.9103699,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1855,13.655114746093773,-0.1159668,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1856,13.693566894531273,0.53323364,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1857,13.639855957031273,0.3765869,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1858,13.720727539062523,0.49572754,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1859,13.920526123046898,0.059387207,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1860,13.790307617187523,-0.14561462,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1861,13.668023681640648,0.27546692,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1862,13.666101074218773,-0.31752014,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1863,13.746209716796898,0.13697815,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1864,13.738549804687523,0.39720154,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1865,13.748162841796898,0.28744507,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1866,13.864099121093773,0.31677246,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1867,13.951531982421898,0.35559082,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1868,13.943170166015648,-0.12852478,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1869,13.933740234375023,0.5422821,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1870,13.956018066406273,-0.09849548,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1871,13.898065185546898,0.30012512,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1872,13.915185546875023,0.47019958,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1873,13.877618408203148,-0.32855225,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1874,13.980432128906273,0.62783813,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1875,14.073571777343773,-0.9833832,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1876,13.749108886718773,-0.40751648,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1877,13.858789062500023,1.0266266,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1878,13.931787109375023,0.5910034,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1879,13.925866699218773,0.117263794,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1880,13.918481445312523,0.060424805,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1881,13.925897216796898,-0.7088623,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1882,13.838372802734398,0.5227051,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1883,13.912866210937523,-0.086135864,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1884,13.718682861328148,-1.3973846,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1885,13.583795166015648,-0.46769714,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1886,13.519708251953148,0.25549316,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1887,13.610284423828148,0.4156494,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1888,13.617852783203148,0.13783264,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1889,13.700097656250023,1.1017914,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1890,13.739343261718773,-0.19909668,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1891,13.710778808593773,0.19113159,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1892,13.762750244140648,0.052703857,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1893,13.720849609375023,0.31010437,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1894,13.891290283203148,0.73039246,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1895,13.944848632812523,-0.3434906,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1896,13.912988281250023,-0.14077759,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1897,13.831994628906273,0.11592102,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1898,13.892785644531273,0.67089844,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1899,14.015954589843773,-0.209198,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1900,14.000207519531273,-0.4882202,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1901,13.777551269531273,-0.16275024,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1902,13.807977294921898,0.97598267,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1903,13.912469482421898,-0.28692627,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1904,13.766351318359398,-0.33486938,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1905,13.760186767578148,-0.20619202,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1906,13.762231445312523,0.087768555,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1907,13.559899902343773,-0.87661743,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1908,13.615136718750023,0.69514465,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1909,13.757745361328148,0.4870453,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1910,13.693780517578148,0.42741394,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1911,13.836846923828148,0.57173157,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1912,13.824456787109398,-0.15039062,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1913,13.841729736328148,-0.6867218,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1914,13.926446533203148,0.39157104,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1915,14.022973632812523,0.26042175,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1916,13.988946533203148,-0.024597168,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1917,13.987634277343773,0.72621155,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1918,14.114495849609398,0.14019775,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1919,13.869409179687523,0.36071777,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1920,14.030908203125023,0.9127655,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1921,14.324975585937523,0.34979248,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1922,14.111993408203148,-0.6150055,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1923,13.995965576171898,0.061462402,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1924,14.001184082031273,-0.26391602,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1925,14.129022216796898,-0.08302307,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1926,14.028955078125023,0.13244629,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1927,14.005578613281273,0.31607056,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1928,14.067590332031273,0.7830658,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
1929,14.260583496093773,0.20489502,tas_fgco2,NCAR_CESM2-WACCM,r2i1p1f1
