Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.936242675781273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1851,13.889978027343773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1852,13.966729736328148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1853,14.062036132812523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1854,13.964837646484398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1855,13.987969970703148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1856,14.104882812500023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1857,13.936730957031273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1858,13.882440185546898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1859,13.984979248046898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1860,14.002893066406273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1861,14.064355468750023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1862,13.950860595703148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1863,14.087121582031273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1864,13.910943603515648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1865,14.071191406250023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1866,14.225061035156273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1867,14.050164794921898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1868,14.062585449218773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1869,13.961511230468773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1870,14.088861083984398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1871,14.202752685546898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1872,14.209588623046898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1873,14.081384277343773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1874,14.157952880859398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1875,14.084619140625023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1876,14.255242919921898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1877,14.208398437500023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1878,14.258203125000023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1879,14.220727539062523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1880,14.175561523437523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1881,14.158563232421898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1882,14.163354492187523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1883,14.099267578125023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1884,13.657952880859398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1885,13.665917968750023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1886,13.716088867187523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1887,13.911859130859398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1888,14.023767089843773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1889,14.100823974609398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1890,14.168634033203148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1891,14.100701904296898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1892,13.899652099609398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1893,14.169091796875023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1894,14.217340087890648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1895,14.184167480468773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1896,13.941522216796898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1897,14.186395263671898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1898,14.251611328125023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1899,14.228204345703148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1900,14.006555175781273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1901,14.119561767578148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1902,14.235070800781273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1903,13.944116210937523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1904,13.837762451171898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1905,14.059747314453148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1906,13.998071289062523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1907,14.031213378906273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1908,14.140252685546898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1909,14.122552490234398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1910,13.969628906250023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1911,14.024804687500023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1912,14.006127929687523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1913,13.936853027343773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1914,14.065332031250023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1915,13.988977050781273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1916,14.043939208984398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1917,14.138543701171898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1918,14.128594970703148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1919,14.135156250000023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1920,14.049768066406273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1921,13.937707519531273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1922,14.059472656250023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1923,14.336389160156273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1924,14.378747558593773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1925,14.299310302734398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1926,14.247491455078148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1927,14.287561035156273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1928,14.059930419921898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1929,14.045922851562523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1930,14.257135009765648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1931,14.291131591796898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1932,14.201806640625023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1933,14.405908203125023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1934,14.489465332031273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1935,14.127069091796898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1936,14.039361572265648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1937,14.225640869140648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1938,14.418450927734398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1939,14.371514892578148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1940,14.196374511718773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1941,14.141351318359398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1942,14.291040039062523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1943,14.444848632812523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1944,14.271203613281273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1945,14.315820312500023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1946,14.403833007812523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1947,14.107232666015648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1948,14.108850097656273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1949,14.143365478515648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1950,14.505883789062523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1951,14.340203857421898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1952,14.395257568359398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1953,14.314752197265648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1954,14.208489990234398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1955,14.302789306640648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1956,14.454064941406273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1957,14.519036865234398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1958,14.210198974609398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1959,14.277947998046898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1960,14.305871582031273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1961,14.054864501953148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1962,14.059045410156273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1963,14.198358154296898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1964,14.237542724609398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1965,14.195733642578148,tas_fgco2,NCAR_CESM2,r5i1p1f1
1966,14.066247558593773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1967,14.025628662109398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1968,14.243676757812523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1969,14.379418945312523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1970,14.240350341796898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1971,14.295648193359398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1972,14.281396484375023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1973,14.046838378906273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1974,14.036828613281273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1975,14.093072509765648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1976,14.182641601562523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1977,14.401269531250023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1978,14.363397216796898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1979,14.264489746093773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1980,14.400109863281273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1981,14.525781250000023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1982,14.477777099609398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1983,14.561975097656273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1984,14.554467773437523,tas_fgco2,NCAR_CESM2,r5i1p1f1
1985,14.475091552734398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1986,14.518182373046898,tas_fgco2,NCAR_CESM2,r5i1p1f1
1987,14.628961181640648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1988,14.611322021484398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1989,14.564050292968773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1990,14.629541015625023,tas_fgco2,NCAR_CESM2,r5i1p1f1
1991,14.658898925781273,tas_fgco2,NCAR_CESM2,r5i1p1f1
1992,14.378991699218773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1993,14.229486083984398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1994,14.273767089843773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1995,14.507653808593773,tas_fgco2,NCAR_CESM2,r5i1p1f1
1996,14.692620849609398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1997,14.645806884765648,tas_fgco2,NCAR_CESM2,r5i1p1f1
1998,14.649163818359398,tas_fgco2,NCAR_CESM2,r5i1p1f1
1999,14.606469726562523,tas_fgco2,NCAR_CESM2,r5i1p1f1
2000,14.628503417968773,tas_fgco2,NCAR_CESM2,r5i1p1f1
2001,14.922448730468773,tas_fgco2,NCAR_CESM2,r5i1p1f1
2002,14.958825683593773,tas_fgco2,NCAR_CESM2,r5i1p1f1
2003,14.768975830078148,tas_fgco2,NCAR_CESM2,r5i1p1f1
2004,14.887292480468773,tas_fgco2,NCAR_CESM2,r5i1p1f1
2005,14.885644531250023,tas_fgco2,NCAR_CESM2,r5i1p1f1
2006,14.970971679687523,tas_fgco2,NCAR_CESM2,r5i1p1f1
2007,15.085656738281273,tas_fgco2,NCAR_CESM2,r5i1p1f1
2008,14.930993652343773,tas_fgco2,NCAR_CESM2,r5i1p1f1
2009,15.027917480468773,tas_fgco2,NCAR_CESM2,r5i1p1f1
2010,15.194635009765648,tas_fgco2,NCAR_CESM2,r5i1p1f1
2011,15.117547607421898,tas_fgco2,NCAR_CESM2,r5i1p1f1
2012,14.911706542968773,tas_fgco2,NCAR_CESM2,r5i1p1f1
2013,14.992333984375023,tas_fgco2,NCAR_CESM2,r5i1p1f1
2014,15.262353515625023,tas_fgco2,NCAR_CESM2,r5i1p1f1
2015,15.288812255859398,tas_toa,NCAR_CESM2,r5i1p1f1
2016,15.132958984375023,tas_toa,NCAR_CESM2,r5i1p1f1
2017,15.186669921875023,tas_toa,NCAR_CESM2,r5i1p1f1
2018,15.324578857421898,tas_toa,NCAR_CESM2,r5i1p1f1
2019,15.205773925781273,tas_toa,NCAR_CESM2,r5i1p1f1
2020,15.028070068359398,tas_toa,NCAR_CESM2,r5i1p1f1
2021,15.017449951171898,tas_toa,NCAR_CESM2,r5i1p1f1
2022,15.301599121093773,tas_toa,NCAR_CESM2,r5i1p1f1
2023,15.418542480468773,tas_toa,NCAR_CESM2,r5i1p1f1
2024,15.153924560546898,tas_toa,NCAR_CESM2,r5i1p1f1
2025,15.255792236328148,tas_toa,NCAR_CESM2,r5i1p1f1
2026,15.442010498046898,tas_toa,NCAR_CESM2,r5i1p1f1
2027,15.272485351562523,tas_toa,NCAR_CESM2,r5i1p1f1
2028,15.550469970703148,tas_toa,NCAR_CESM2,r5i1p1f1
2029,15.595819091796898,tas_toa,NCAR_CESM2,r5i1p1f1
2030,15.283746337890648,tas_toa,NCAR_CESM2,r5i1p1f1
2031,15.346154785156273,tas_toa,NCAR_CESM2,r5i1p1f1
2032,15.567529296875023,tas_toa,NCAR_CESM2,r5i1p1f1
2033,15.685845947265648,tas_toa,NCAR_CESM2,r5i1p1f1
2034,15.685998535156273,tas_toa,NCAR_CESM2,r5i1p1f1
2035,15.795983886718773,tas_toa,NCAR_CESM2,r5i1p1f1
2036,15.784570312500023,tas_toa,NCAR_CESM2,r5i1p1f1
2037,15.656182861328148,tas_toa,NCAR_CESM2,r5i1p1f1
2038,15.649468994140648,tas_toa,NCAR_CESM2,r5i1p1f1
