Year,Surface_Temperature,Run_Type,Model,Simulation
1850,14.464501953125023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1851,14.565576171875023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1852,14.362542724609398,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1853,14.505975341796898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1854,14.592370605468773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1855,14.321496582031273,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1856,14.458123779296898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1857,14.452752685546898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1858,14.569421386718773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1859,14.475030517578148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1860,14.333947753906273,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1861,14.526910400390648,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1862,14.669915771484398,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1863,14.593865966796898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1864,14.484460449218773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1865,14.601556396484398,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1866,14.560693359375023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1867,14.411798095703148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1868,14.521875000000023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1869,14.521813964843773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1870,14.487390136718773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1871,14.489099121093773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1872,14.407128906250023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1873,14.377526855468773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1874,14.349420166015648,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1875,14.455865478515648,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1876,14.517358398437523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1877,14.510308837890648,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1878,14.377404785156273,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1879,14.471002197265648,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1880,14.463494873046898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1881,14.493280029296898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1882,14.629907226562523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1883,14.650140380859398,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1884,14.315057373046898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1885,14.293267822265648,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1886,14.454858398437523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1887,14.366967773437523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1888,14.410577392578148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1889,14.448693847656273,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1890,14.496759033203148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1891,14.308923339843773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1892,14.429864501953148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1893,14.430291748046898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1894,14.588861083984398,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1895,14.549645996093773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1896,14.439477539062523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1897,14.268457031250023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1898,14.320489501953148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1899,14.435754394531273,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1900,14.542749023437523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1901,14.464715576171898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1902,14.543054199218773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1903,14.404809570312523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1904,14.347772216796898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1905,14.453576660156273,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1906,14.523278808593773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1907,14.596795654296898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1908,14.519372558593773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1909,14.659051513671898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1910,14.642541503906273,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1911,14.723046875000023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1912,14.670098876953148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1913,14.518823242187523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1914,14.566461181640648,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1915,14.502557373046898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1916,14.609490966796898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1917,14.473718261718773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1918,14.356958007812523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1919,14.469812011718773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1920,14.421899414062523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1921,14.431970214843773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1922,14.475518798828148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1923,14.390740966796898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1924,14.441918945312523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1925,14.658807373046898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1926,14.630609130859398,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1927,14.671777343750023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1928,14.634423828125023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1929,14.407647705078148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1930,14.613580322265648,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1931,14.539208984375023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1932,14.638360595703148,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1933,14.681237792968773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1934,14.734155273437523,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1935,14.764001464843773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1936,14.656091308593773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1937,14.614831542968773,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1938,14.579583740234398,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1939,14.515527343750023,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
1940,14.573358154296898,tas_toa,CSIRO_ACCESS-ESM1-5,r2i1p1f1
