Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.647088623046898,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1851,13.791680908203148,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1852,13.830377197265648,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1853,13.717919921875023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1854,13.589898681640648,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1855,13.816217041015648,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1856,13.738580322265648,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1857,13.810968017578148,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1858,13.697351074218773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1859,13.693811035156273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1860,13.915002441406273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1861,13.867425537109398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1862,13.748162841796898,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1863,13.707177734375023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1864,13.726708984375023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1865,13.821679687500023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1866,13.910180664062523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1867,13.859277343750023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1868,13.977685546875023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1869,13.869073486328148,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1870,13.797357177734398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1871,14.023187255859398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1872,13.972497558593773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1873,13.851525878906273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1874,13.858239746093773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1875,13.720391845703148,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1876,13.732415771484398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1877,13.727685546875023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1878,13.845147705078148,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1879,13.919824218750023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1880,13.935937500000023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1881,13.897241210937523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1882,14.012933349609398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1883,13.894189453125023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1884,13.578454589843773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1885,13.593469238281273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1886,13.697198486328148,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1887,13.784448242187523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1888,14.048822021484398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1889,14.000604248046898,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1890,14.095941162109398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1891,14.015222167968773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1892,14.023583984375023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1893,14.147485351562523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1894,14.059808349609398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1895,14.119348144531273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1896,14.095819091796898,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1897,13.960107421875023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1898,14.056420898437523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1899,14.214227294921898,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1900,13.878411865234398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1901,13.934594726562523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1902,14.042718505859398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1903,13.814416503906273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1904,13.748223876953148,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1905,13.851312255859398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1906,13.856286621093773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1907,13.812524414062523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1908,13.842156982421898,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1909,13.784967041015648,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1910,13.677026367187523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1911,13.706445312500023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1912,13.701074218750023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1913,13.451928710937523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1914,13.597070312500023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1915,13.665979003906273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1916,13.731011962890648,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1917,13.801049804687523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1918,13.802270507812523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1919,13.897180175781273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1920,13.538415527343773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1921,13.634240722656273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1922,13.650384521484398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1923,13.556481933593773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1924,13.678002929687523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1925,13.768548583984398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1926,13.793939208984398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1927,13.727685546875023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1928,13.737207031250023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1929,13.625054931640648,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1930,13.547967529296898,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1931,13.737512207031273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1932,13.706628417968773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1933,13.755792236328148,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1934,13.660180664062523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1935,13.744592285156273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1936,13.766625976562523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1937,14.015466308593773,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1938,14.031152343750023,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1939,13.743463134765648,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1940,13.805688476562523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1941,13.837396240234398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1942,13.633294677734398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1943,13.824670410156273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1944,13.743096923828148,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1945,13.709710693359398,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1946,13.877648925781273,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
1947,13.739038085937523,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r2i1p1f1
