Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.252618408203148,tas_toa,INM_INM-CM5-0,r2i1p1f1
1851,13.255212402343773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1852,13.220025634765648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1853,13.162927246093773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1854,13.241876220703148,tas_toa,INM_INM-CM5-0,r2i1p1f1
1855,13.207360839843773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1856,13.234765625000023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1857,13.154260253906273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1858,13.196740722656273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1859,13.275659179687523,tas_toa,INM_INM-CM5-0,r2i1p1f1
1860,13.266351318359398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1861,13.251550292968773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1862,13.227288818359398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1863,13.226037597656273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1864,13.147058105468773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1865,13.096307373046898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1866,13.204187011718773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1867,13.148919677734398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1868,13.101220703125023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1869,13.055566406250023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1870,12.966027832031273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1871,13.065332031250023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1872,13.269158935546898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1873,13.173516845703148,tas_toa,INM_INM-CM5-0,r2i1p1f1
1874,13.149438476562523,tas_toa,INM_INM-CM5-0,r2i1p1f1
1875,13.318658447265648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1876,13.250329589843773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1877,13.149499511718773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1878,13.172631835937523,tas_toa,INM_INM-CM5-0,r2i1p1f1
1879,13.104882812500023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1880,13.155938720703148,tas_toa,INM_INM-CM5-0,r2i1p1f1
1881,13.175073242187523,tas_toa,INM_INM-CM5-0,r2i1p1f1
1882,13.205651855468773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1883,13.205560302734398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1884,12.878015136718773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1885,12.897729492187523,tas_toa,INM_INM-CM5-0,r2i1p1f1
1886,12.893121337890648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1887,12.956781005859398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1888,12.963037109375023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1889,13.077844238281273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1890,13.067254638671898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1891,13.133874511718773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1892,13.295068359375023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1893,13.179498291015648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1894,13.103631591796898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1895,13.209039306640648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1896,13.191827392578148,tas_toa,INM_INM-CM5-0,r2i1p1f1
1897,13.271813964843773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1898,13.196679687500023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1899,13.266137695312523,tas_toa,INM_INM-CM5-0,r2i1p1f1
1900,13.201104736328148,tas_toa,INM_INM-CM5-0,r2i1p1f1
1901,13.182092285156273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1902,13.271386718750023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1903,13.150262451171898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1904,13.113122558593773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1905,13.168878173828148,tas_toa,INM_INM-CM5-0,r2i1p1f1
1906,13.236108398437523,tas_toa,INM_INM-CM5-0,r2i1p1f1
1907,13.157983398437523,tas_toa,INM_INM-CM5-0,r2i1p1f1
1908,13.222528076171898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1909,13.281152343750023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1910,13.323968505859398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1911,13.229058837890648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1912,13.116754150390648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1913,13.067102050781273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1914,13.081048583984398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1915,13.273675537109398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1916,13.291223144531273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1917,13.316949462890648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1918,13.158380126953148,tas_toa,INM_INM-CM5-0,r2i1p1f1
1919,13.298242187500023,tas_toa,INM_INM-CM5-0,r2i1p1f1
1920,13.283013916015648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1921,13.330560302734398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1922,13.269738769531273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1923,13.247674560546898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1924,13.270318603515648,tas_toa,INM_INM-CM5-0,r2i1p1f1
1925,13.427270507812523,tas_toa,INM_INM-CM5-0,r2i1p1f1
1926,13.415734863281273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1927,13.375726318359398,tas_toa,INM_INM-CM5-0,r2i1p1f1
1928,13.321862792968773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1929,13.321160888671898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1930,13.344598388671898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1931,13.463708496093773,tas_toa,INM_INM-CM5-0,r2i1p1f1
1932,13.443231201171898,tas_toa,INM_INM-CM5-0,r2i1p1f1
1933,13.533410644531273,tas_toa,INM_INM-CM5-0,r2i1p1f1
1934,13.449243164062523,tas_toa,INM_INM-CM5-0,r2i1p1f1
