Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.478448486328148,1.0112915,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1851,13.460870361328148,0.6136627,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1852,13.467797851562523,0.513443,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1853,13.817590332031273,-0.010910034,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1854,13.680841064453148,-0.18174744,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1855,13.536340332031273,0.26286316,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1856,13.472100830078148,0.47125244,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1857,13.551293945312523,0.2203064,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1858,13.538995361328148,0.595459,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1859,13.589440917968773,0.6380615,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1860,13.595758056640648,0.9260559,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1861,13.692254638671898,-0.26383972,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1862,13.495355224609398,-0.14416504,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1863,13.525811767578148,0.6685333,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1864,13.738275146484398,0.004135132,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1865,13.687005615234398,0.24978638,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1866,13.531488037109398,0.40612793,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1867,13.578759765625023,0.6382141,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1868,13.493127441406273,0.69950867,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1869,13.507958984375023,1.005188,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1870,13.677026367187523,0.37335205,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1871,13.605249023437523,0.18418884,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1872,13.562982177734398,0.21498108,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1873,13.547265625000023,0.0014038086,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1874,13.434503173828148,0.06741333,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1875,13.360650634765648,0.54008484,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1876,13.379571533203148,0.8614807,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1877,13.453820800781273,0.5295868,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1878,13.506005859375023,0.5072937,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1879,13.597467041015648,0.23014832,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1880,13.506280517578148,-0.15945435,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1881,13.457696533203148,0.6040344,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1882,13.438287353515648,0.70762634,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1883,13.516412353515648,-0.16114807,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1884,13.219232177734398,-1.0321808,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1885,13.267877197265648,0.9243622,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1886,13.395501708984398,0.9238739,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1887,13.376428222656273,0.71258545,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1888,13.501458740234398,0.6891632,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1889,13.693597412109398,0.3026123,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1890,13.667871093750023,0.027877808,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1891,13.429040527343773,0.2315216,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1892,13.376031494140648,0.6791229,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1893,13.570672607421898,0.49938965,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1894,13.467309570312523,0.58369446,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1895,13.520959472656273,0.8378296,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1896,13.588525390625023,0.68666077,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1897,13.690545654296898,0.2572937,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1898,13.512353515625023,0.6845093,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1899,13.448175048828148,0.51901245,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1900,13.452691650390648,0.9677124,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1901,13.583123779296898,0.8311615,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1902,13.577233886718773,0.11682129,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1903,13.294396972656273,-0.30303955,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
1904,13.495965576171898,0.25724792,tas_toa,MPI-M_MPI-ESM1-2-LR,r1i1p1f1
