Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.897271728515648,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1851,13.866052246093773,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1852,13.759698486328148,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1853,13.753411865234398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1854,13.804711914062523,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1855,13.739007568359398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1856,13.777795410156273,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1857,13.793420410156273,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1858,13.780114746093773,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1859,13.792260742187523,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1860,13.664941406250023,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1861,13.704248046875023,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1862,13.719079589843773,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1863,13.746514892578148,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1864,13.771173095703148,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1865,13.796228027343773,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1866,13.714440917968773,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1867,13.583612060546898,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1868,13.683160400390648,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1869,13.893762207031273,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1870,13.833245849609398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1871,13.788568115234398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1872,13.910150146484398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1873,13.840356445312523,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1874,13.876458740234398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1875,13.675042724609398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1876,13.756250000000023,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1877,13.824304199218773,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1878,13.854852294921898,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1879,13.988092041015648,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1880,13.719140625000023,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1881,13.798516845703148,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1882,13.804254150390648,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1883,13.613397216796898,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1884,13.551171875000023,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1885,13.602380371093773,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1886,13.699700927734398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1887,13.613153076171898,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1888,13.667443847656273,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1889,13.691400146484398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1890,13.731866455078148,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1891,13.722161865234398,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
1892,13.743280029296898,tas_toa,MRI_MRI-ESM2-0,r5i1p1f1
