Year,Surface_Temperature,Run_Type,Model,Simulation
1850,15.160607910156273,tas_toa,MIROC_MIROC6,r1i1p1f1
1851,15.122277832031273,tas_toa,MIROC_MIROC6,r1i1p1f1
1852,15.145501708984398,tas_toa,MIROC_MIROC6,r1i1p1f1
1853,15.197961425781273,tas_toa,MIROC_MIROC6,r1i1p1f1
1854,15.462945556640648,tas_toa,MIROC_MIROC6,r1i1p1f1
1855,15.566613769531273,tas_toa,MIROC_MIROC6,r1i1p1f1
1856,15.100579833984398,tas_toa,MIROC_MIROC6,r1i1p1f1
1857,15.145410156250023,tas_toa,MIROC_MIROC6,r1i1p1f1
1858,15.189538574218773,tas_toa,MIROC_MIROC6,r1i1p1f1
1859,15.325158691406273,tas_toa,MIROC_MIROC6,r1i1p1f1
1860,15.231652832031273,tas_toa,MIROC_MIROC6,r1i1p1f1
1861,15.163964843750023,tas_toa,MIROC_MIROC6,r1i1p1f1
1862,15.297082519531273,tas_toa,MIROC_MIROC6,r1i1p1f1
1863,15.444299316406273,tas_toa,MIROC_MIROC6,r1i1p1f1
1864,15.106805419921898,tas_toa,MIROC_MIROC6,r1i1p1f1
1865,14.996942138671898,tas_toa,MIROC_MIROC6,r1i1p1f1
1866,15.059960937500023,tas_toa,MIROC_MIROC6,r1i1p1f1
1867,15.147454833984398,tas_toa,MIROC_MIROC6,r1i1p1f1
1868,15.347711181640648,tas_toa,MIROC_MIROC6,r1i1p1f1
1869,15.488977050781273,tas_toa,MIROC_MIROC6,r1i1p1f1
1870,15.326440429687523,tas_toa,MIROC_MIROC6,r1i1p1f1
1871,15.328424072265648,tas_toa,MIROC_MIROC6,r1i1p1f1
1872,15.290856933593773,tas_toa,MIROC_MIROC6,r1i1p1f1
1873,15.385034179687523,tas_toa,MIROC_MIROC6,r1i1p1f1
1874,15.456140136718773,tas_toa,MIROC_MIROC6,r1i1p1f1
1875,15.230828857421898,tas_toa,MIROC_MIROC6,r1i1p1f1
1876,15.277093505859398,tas_toa,MIROC_MIROC6,r1i1p1f1
1877,15.166406250000023,tas_toa,MIROC_MIROC6,r1i1p1f1
1878,15.220880126953148,tas_toa,MIROC_MIROC6,r1i1p1f1
1879,15.288110351562523,tas_toa,MIROC_MIROC6,r1i1p1f1
1880,15.276361083984398,tas_toa,MIROC_MIROC6,r1i1p1f1
1881,15.238793945312523,tas_toa,MIROC_MIROC6,r1i1p1f1
1882,15.290002441406273,tas_toa,MIROC_MIROC6,r1i1p1f1
1883,15.408532714843773,tas_toa,MIROC_MIROC6,r1i1p1f1
1884,15.039971923828148,tas_toa,MIROC_MIROC6,r1i1p1f1
1885,14.992211914062523,tas_toa,MIROC_MIROC6,r1i1p1f1
1886,15.094964599609398,tas_toa,MIROC_MIROC6,r1i1p1f1
1887,15.133325195312523,tas_toa,MIROC_MIROC6,r1i1p1f1
1888,15.342553710937523,tas_toa,MIROC_MIROC6,r1i1p1f1
1889,15.198052978515648,tas_toa,MIROC_MIROC6,r1i1p1f1
1890,15.119073486328148,tas_toa,MIROC_MIROC6,r1i1p1f1
1891,15.207421875000023,tas_toa,MIROC_MIROC6,r1i1p1f1
1892,15.212152099609398,tas_toa,MIROC_MIROC6,r1i1p1f1
1893,15.283471679687523,tas_toa,MIROC_MIROC6,r1i1p1f1
1894,15.311517333984398,tas_toa,MIROC_MIROC6,r1i1p1f1
1895,15.241326904296898,tas_toa,MIROC_MIROC6,r1i1p1f1
1896,15.262780761718773,tas_toa,MIROC_MIROC6,r1i1p1f1
1897,15.314477539062523,tas_toa,MIROC_MIROC6,r1i1p1f1
1898,15.327630615234398,tas_toa,MIROC_MIROC6,r1i1p1f1
1899,15.330865478515648,tas_toa,MIROC_MIROC6,r1i1p1f1
1900,15.420281982421898,tas_toa,MIROC_MIROC6,r1i1p1f1
1901,15.430444335937523,tas_toa,MIROC_MIROC6,r1i1p1f1
1902,15.295587158203148,tas_toa,MIROC_MIROC6,r1i1p1f1
1903,14.913873291015648,tas_toa,MIROC_MIROC6,r1i1p1f1
1904,14.941186523437523,tas_toa,MIROC_MIROC6,r1i1p1f1
1905,15.064233398437523,tas_toa,MIROC_MIROC6,r1i1p1f1
1906,15.134942626953148,tas_toa,MIROC_MIROC6,r1i1p1f1
1907,15.154321289062523,tas_toa,MIROC_MIROC6,r1i1p1f1
1908,15.313867187500023,tas_toa,MIROC_MIROC6,r1i1p1f1
1909,15.424371337890648,tas_toa,MIROC_MIROC6,r1i1p1f1
1910,15.319207763671898,tas_toa,MIROC_MIROC6,r1i1p1f1
1911,15.200799560546898,tas_toa,MIROC_MIROC6,r1i1p1f1
1912,15.154840087890648,tas_toa,MIROC_MIROC6,r1i1p1f1
1913,15.125634765625023,tas_toa,MIROC_MIROC6,r1i1p1f1
1914,15.204766845703148,tas_toa,MIROC_MIROC6,r1i1p1f1
1915,15.168481445312523,tas_toa,MIROC_MIROC6,r1i1p1f1
1916,15.372583007812523,tas_toa,MIROC_MIROC6,r1i1p1f1
1917,15.501184082031273,tas_toa,MIROC_MIROC6,r1i1p1f1
1918,15.570184326171898,tas_toa,MIROC_MIROC6,r1i1p1f1
1919,15.147698974609398,tas_toa,MIROC_MIROC6,r1i1p1f1
1920,15.158410644531273,tas_toa,MIROC_MIROC6,r1i1p1f1
1921,15.303460693359398,tas_toa,MIROC_MIROC6,r1i1p1f1
1922,15.393273925781273,tas_toa,MIROC_MIROC6,r1i1p1f1
1923,15.373345947265648,tas_toa,MIROC_MIROC6,r1i1p1f1
1924,15.479486083984398,tas_toa,MIROC_MIROC6,r1i1p1f1
1925,15.447991943359398,tas_toa,MIROC_MIROC6,r1i1p1f1
1926,15.370568847656273,tas_toa,MIROC_MIROC6,r1i1p1f1
1927,15.328790283203148,tas_toa,MIROC_MIROC6,r1i1p1f1
1928,15.314599609375023,tas_toa,MIROC_MIROC6,r1i1p1f1
1929,15.294335937500023,tas_toa,MIROC_MIROC6,r1i1p1f1
1930,15.250085449218773,tas_toa,MIROC_MIROC6,r1i1p1f1
1931,15.302575683593773,tas_toa,MIROC_MIROC6,r1i1p1f1
1932,15.388269042968773,tas_toa,MIROC_MIROC6,r1i1p1f1
1933,15.253320312500023,tas_toa,MIROC_MIROC6,r1i1p1f1
1934,15.369714355468773,tas_toa,MIROC_MIROC6,r1i1p1f1
1935,15.403222656250023,tas_toa,MIROC_MIROC6,r1i1p1f1
1936,15.439172363281273,tas_toa,MIROC_MIROC6,r1i1p1f1
1937,15.606500244140648,tas_toa,MIROC_MIROC6,r1i1p1f1
1938,15.544580078125023,tas_toa,MIROC_MIROC6,r1i1p1f1
1939,15.291070556640648,tas_toa,MIROC_MIROC6,r1i1p1f1
1940,15.286676025390648,tas_toa,MIROC_MIROC6,r1i1p1f1
1941,15.353875732421898,tas_toa,MIROC_MIROC6,r1i1p1f1
1942,15.458978271484398,tas_toa,MIROC_MIROC6,r1i1p1f1
1943,15.633691406250023,tas_toa,MIROC_MIROC6,r1i1p1f1
1944,15.755395507812523,tas_toa,MIROC_MIROC6,r1i1p1f1
1945,15.614709472656273,tas_toa,MIROC_MIROC6,r1i1p1f1
1946,15.305902099609398,tas_toa,MIROC_MIROC6,r1i1p1f1
1947,15.327355957031273,tas_toa,MIROC_MIROC6,r1i1p1f1
1948,15.443444824218773,tas_toa,MIROC_MIROC6,r1i1p1f1
1949,15.440423583984398,tas_toa,MIROC_MIROC6,r1i1p1f1
1950,15.439843750000023,tas_toa,MIROC_MIROC6,r1i1p1f1
1951,15.399407958984398,tas_toa,MIROC_MIROC6,r1i1p1f1
1952,15.373590087890648,tas_toa,MIROC_MIROC6,r1i1p1f1
1953,15.279626464843773,tas_toa,MIROC_MIROC6,r1i1p1f1
1954,15.321984863281273,tas_toa,MIROC_MIROC6,r1i1p1f1
1955,15.491540527343773,tas_toa,MIROC_MIROC6,r1i1p1f1
1956,15.607354736328148,tas_toa,MIROC_MIROC6,r1i1p1f1
1957,15.615197753906273,tas_toa,MIROC_MIROC6,r1i1p1f1
1958,15.488427734375023,tas_toa,MIROC_MIROC6,r1i1p1f1
1959,15.355432128906273,tas_toa,MIROC_MIROC6,r1i1p1f1
1960,15.333276367187523,tas_toa,MIROC_MIROC6,r1i1p1f1
1961,15.348291015625023,tas_toa,MIROC_MIROC6,r1i1p1f1
1962,15.630761718750023,tas_toa,MIROC_MIROC6,r1i1p1f1
1963,15.683282470703148,tas_toa,MIROC_MIROC6,r1i1p1f1
1964,15.204766845703148,tas_toa,MIROC_MIROC6,r1i1p1f1
1965,15.086877441406273,tas_toa,MIROC_MIROC6,r1i1p1f1
1966,15.161370849609398,tas_toa,MIROC_MIROC6,r1i1p1f1
1967,15.370416259765648,tas_toa,MIROC_MIROC6,r1i1p1f1
1968,15.588342285156273,tas_toa,MIROC_MIROC6,r1i1p1f1
1969,15.225061035156273,tas_toa,MIROC_MIROC6,r1i1p1f1
1970,15.251184082031273,tas_toa,MIROC_MIROC6,r1i1p1f1
1971,15.337640380859398,tas_toa,MIROC_MIROC6,r1i1p1f1
1972,15.263330078125023,tas_toa,MIROC_MIROC6,r1i1p1f1
1973,15.372674560546898,tas_toa,MIROC_MIROC6,r1i1p1f1
1974,15.440270996093773,tas_toa,MIROC_MIROC6,r1i1p1f1
1975,15.550805664062523,tas_toa,MIROC_MIROC6,r1i1p1f1
