Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.624078369140648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1851,13.611871337890648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1852,13.765313720703148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1853,13.568658447265648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1854,13.567346191406273,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1855,13.432550048828148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1856,13.599847412109398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1857,13.740228271484398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1858,13.560998535156273,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1859,13.514001464843773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1860,13.718927001953148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1861,13.688195800781273,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1862,13.480065917968773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1863,13.588861083984398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1864,13.623437500000023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1865,13.610131835937523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1866,13.577142333984398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1867,13.540582275390648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1868,13.644769287109398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1869,13.646600341796898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1870,13.645410156250023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1871,13.685968017578148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1872,13.576837158203148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1873,13.692102050781273,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1874,13.568139648437523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1875,13.687188720703148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1876,13.736810302734398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1877,13.696527099609398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1878,13.712243652343773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1879,13.767755126953148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1880,13.703363037109398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1881,13.652825927734398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1882,13.720605468750023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1883,13.566217041015648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1884,13.543695068359398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1885,13.664544677734398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1886,13.590997314453148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1887,13.692926025390648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1888,13.641107177734398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1889,13.767510986328148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1890,13.636590576171898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1891,13.726922607421898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1892,13.554376220703148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1893,13.851861572265648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1894,13.945642089843773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1895,13.727960205078148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1896,13.790429687500023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1897,13.829156494140648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1898,13.928430175781273,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1899,13.707391357421898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1900,13.886499023437523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1901,13.837182617187523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1902,13.672906494140648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1903,13.591241455078148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1904,13.529199218750023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1905,13.576043701171898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1906,13.693872070312523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1907,13.784051513671898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1908,13.531274414062523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1909,13.735162353515648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1910,13.758081054687523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1911,13.782067871093773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1912,13.589410400390648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1913,13.680017089843773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1914,13.652673339843773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1915,13.720483398437523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1916,13.696405029296898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1917,13.678521728515648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1918,13.765466308593773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1919,13.701562500000023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1920,13.645349121093773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1921,13.799890136718773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1922,13.828271484375023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1923,13.788140869140648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1924,13.843621826171898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1925,13.739282226562523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1926,13.733911132812523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1927,13.739282226562523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1928,13.860498046875023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1929,13.640130615234398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1930,13.413385009765648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1931,13.681481933593773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1932,13.626519775390648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1933,13.641595458984398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1934,13.615441894531273,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1935,13.508966064453148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1936,13.668328857421898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1937,13.454583740234398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1938,13.483056640625023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1939,13.556420898437523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1940,13.447137451171898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1941,13.583154296875023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1942,13.690148925781273,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1943,13.616204833984398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1944,13.634790039062523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1945,13.468499755859398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1946,13.554498291015648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1947,13.458245849609398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1948,13.620935058593773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1949,13.537896728515648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1950,13.482690429687523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1951,13.470025634765648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1952,13.534661865234398,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1953,13.360437011718773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1954,13.499108886718773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1955,13.541314697265648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1956,13.355767822265648,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1957,13.496697998046898,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1958,13.620263671875023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1959,13.476831054687523,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1960,13.401269531250023,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1961,13.577569580078148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1962,13.402520751953148,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1963,13.484460449218773,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
1964,13.506066894531273,tas_toa,CNRM-CERFACS_CNRM-ESM2-1,r5i1p1f2
