Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,12.800378417968773,1.4832306,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1851,13.070611572265648,0.74427795,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1852,13.213586425781273,0.42404175,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1853,12.877832031250023,0.07720947,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1854,12.852807617187523,1.0595093,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1855,12.913690185546898,0.65740967,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1856,12.717370605468773,0.90945435,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1857,12.821282958984398,1.0380096,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1858,12.813958740234398,0.82510376,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1859,12.817407226562523,0.6691284,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1860,12.846978759765648,1.1344299,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1861,12.934106445312523,-0.037261963,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1862,12.743096923828148,0.10449219,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1863,12.784326171875023,1.1698761,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1864,12.921716308593773,0.72566223,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1865,12.770501708984398,0.7823334,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1866,12.703820800781273,0.22193909,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1867,12.653405761718773,0.82980347,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1868,12.711999511718773,0.7762909,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1869,12.722497558593773,1.0566406,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1870,12.827050781250023,0.6027527,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1871,12.632165527343773,1.0196381,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1872,12.664178466796898,1.3405609,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1873,12.830651855468773,1.043808,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1874,12.801568603515648,0.36561584,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1875,12.825708007812523,0.9371033,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1876,12.875238037109398,0.83721924,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1877,12.783471679687523,0.26219177,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1878,12.765374755859398,1.1078796,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1879,12.867333984375023,0.9845276,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1880,12.995263671875023,0.31881714,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1881,12.826806640625023,0.71562195,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1882,12.777124023437523,1.1495209,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1883,12.850671386718773,0.39007568,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1884,12.578607177734398,-0.6017151,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1885,12.743524169921898,0.22903442,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1886,12.778009033203148,0.5250244,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1887,12.647668457031273,0.8249817,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1888,12.603356933593773,1.1561127,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1889,12.763635253906273,1.2156677,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1890,12.699731445312523,0.11341858,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1891,12.359155273437523,0.98301697,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1892,12.420831298828148,1.2638855,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1893,12.785882568359398,0.8769989,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1894,12.762292480468773,0.5544739,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1895,12.771234130859398,0.55007935,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1896,12.678338623046898,0.97673035,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1897,12.708093261718773,1.0847931,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1898,12.556695556640648,0.7693939,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1899,12.777978515625023,1.3152008,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1900,12.819543457031273,1.0014191,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1901,12.815667724609398,0.47514343,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1902,12.770349121093773,0.6165161,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1903,12.492883300781273,0.43772888,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1904,12.671838378906273,0.9163513,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1905,12.848687744140648,0.7444763,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1906,12.790795898437523,0.93122864,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1907,12.744989013671898,0.69821167,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1908,12.786340332031273,0.9851837,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1909,12.624414062500023,1.1563721,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1910,12.812768554687523,1.2148743,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1911,12.827966308593773,1.0851288,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1912,12.836633300781273,0.88056946,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
1913,12.913507080078148,0.24957275,tas_co2,IPSL_IPSL-CM6A-LR,r2i1p1f1
