Year,Surface_Temperature,Run_Type,Model,Simulation
1850,14.085534667968773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1851,14.084252929687523,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1852,14.079003906250023,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1853,14.137689208984398,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1854,14.036737060546898,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1855,14.057336425781273,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1856,14.030938720703148,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1857,13.770440673828148,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1858,13.734399414062523,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1859,13.747155761718773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1860,13.825952148437523,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1861,13.863458251953148,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1862,13.810876464843773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1863,13.741204833984398,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1864,13.632653808593773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1865,13.717370605468773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1866,13.741326904296898,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1867,13.757318115234398,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1868,13.913476562500023,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1869,13.829431152343773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1870,13.594964599609398,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1871,13.854516601562523,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1872,13.916589355468773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1873,13.962182617187523,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1874,14.010003662109398,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1875,13.739099121093773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1876,13.770654296875023,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1877,13.769128417968773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1878,14.041650390625023,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1879,13.901574707031273,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1880,14.038629150390648,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1881,14.033135986328148,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1882,13.924462890625023,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1883,13.743249511718773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1884,13.042321777343773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1885,13.307275390625023,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1886,13.539514160156273,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1887,13.770104980468773,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
1888,13.853326416015648,tas_toa,CAMS_CAMS-CSM1-0,r2i1p1f1
