Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.243554687500023,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1851,13.251153564453148,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1852,13.340600585937523,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1853,13.313989257812523,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1854,13.289056396484398,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1855,13.279779052734398,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1856,13.265588378906273,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1857,13.333306884765648,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1858,13.418969726562523,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1859,13.423730468750023,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1860,13.441644287109398,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1861,13.351739501953148,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1862,13.223168945312523,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1863,13.267510986328148,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1864,13.296716308593773,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1865,13.390618896484398,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1866,13.399560546875023,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1867,13.429254150390648,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1868,13.329949951171898,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1869,13.295465087890648,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1870,13.389916992187523,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1871,13.382165527343773,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1872,13.161096191406273,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1873,13.134790039062523,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1874,13.253869628906273,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1875,13.488061523437523,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1876,13.604150390625023,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1877,13.542260742187523,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1878,13.395837402343773,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1879,13.402764892578148,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1880,13.463403320312523,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1881,13.458062744140648,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1882,13.533776855468773,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1883,13.507226562500023,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
1884,13.146081542968773,tas_toa,CCCma_CanESM5-CanOE,r3i1p2f1
