Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.392449951171898,0.24024963,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1851,13.455010986328148,0.3698883,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1852,13.590692138671898,0.14607239,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1853,13.576348876953148,-0.07899475,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1854,13.408654785156273,0.3433838,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1855,13.478875732421898,0.5127411,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1856,13.593560791015648,-0.43338013,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1857,13.578637695312523,0.7046051,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1858,13.622491455078148,-0.22758484,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1859,13.446801757812523,0.43344116,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1860,13.422631835937523,0.4512787,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1861,13.547784423828148,-0.8569336,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1862,13.375787353515648,0.13175964,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1863,13.430413818359398,0.57359314,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1864,13.473138427734398,0.20210266,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1865,13.403863525390648,0.20825195,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1866,13.343804931640648,0.46191406,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1867,13.452966308593773,0.07928467,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1868,13.469506835937523,-0.024612427,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1869,13.451165771484398,0.4360199,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1870,13.535607910156273,0.27116394,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1871,13.602319335937523,0.2876892,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1872,13.627404785156273,0.3368225,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1873,13.634484863281273,-0.004547119,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1874,13.612725830078148,0.15892029,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1875,13.517877197265648,0.18255615,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1876,13.460015869140648,0.25637817,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1877,13.514031982421898,0.35388184,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1878,13.689233398437523,0.29130554,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1879,13.475091552734398,-0.20730591,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1880,13.583123779296898,0.57318115,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1881,13.732354736328148,0.16583252,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1882,13.728784179687523,0.0029144287,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1883,13.708734130859398,-0.84791565,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1884,13.298974609375023,-0.8739319,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1885,13.377435302734398,-0.33685303,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1886,13.433953857421898,0.67222595,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1887,13.543634033203148,-0.44534302,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1888,13.481103515625023,0.31895447,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1889,13.599969482421898,0.5762329,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1890,13.756860351562523,-0.09492493,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1891,13.552026367187523,0.050125122,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1892,13.618371582031273,0.16247559,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1893,13.575616455078148,0.4512329,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1894,13.779870605468773,0.8087921,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1895,13.885461425781273,0.44065857,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1896,14.046563720703148,-0.41712952,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1897,13.879876708984398,0.18286133,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1898,13.821832275390648,0.37586975,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1899,13.902978515625023,0.383255,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1900,13.945703125000023,-0.122665405,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1901,13.877923583984398,0.4905243,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1902,13.927239990234398,-0.13665771,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1903,13.669824218750023,-0.65075684,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1904,13.566186523437523,0.16958618,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1905,13.738641357421898,0.43551636,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1906,13.887689208984398,-0.157547,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1907,13.910638427734398,0.40504456,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1908,13.908685302734398,0.25276184,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1909,13.859307861328148,0.00592041,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1910,13.719903564453148,0.2630005,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1911,13.702691650390648,0.076797485,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1912,13.845788574218773,-0.38974,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1913,13.891503906250023,-0.76519775,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1914,13.698876953125023,0.37519836,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1915,13.627832031250023,0.31791687,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
1916,13.549462890625023,0.25230408,tas_toa,EC-Earth-Consortium_EC-Earth3-Veg,r1i1p1f1
