Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,15.098199462890648,1.5310822,tas_toa,MIROC_MIROC6,r3i1p1f1
1851,15.132470703125023,1.1575928,tas_toa,MIROC_MIROC6,r3i1p1f1
1852,15.199151611328148,1.3205872,tas_toa,MIROC_MIROC6,r3i1p1f1
1853,15.249536132812523,0.88365173,tas_toa,MIROC_MIROC6,r3i1p1f1
1854,15.136560058593773,1.078476,tas_toa,MIROC_MIROC6,r3i1p1f1
1855,15.109643554687523,1.674118,tas_toa,MIROC_MIROC6,r3i1p1f1
1856,15.248376464843773,1.2415771,tas_toa,MIROC_MIROC6,r3i1p1f1
1857,15.371972656250023,1.1790924,tas_toa,MIROC_MIROC6,r3i1p1f1
1858,15.378198242187523,1.0651398,tas_toa,MIROC_MIROC6,r3i1p1f1
1859,15.364160156250023,1.0714569,tas_toa,MIROC_MIROC6,r3i1p1f1
1860,15.370385742187523,1.0460968,tas_toa,MIROC_MIROC6,r3i1p1f1
1861,15.238610839843773,0.9928131,tas_toa,MIROC_MIROC6,r3i1p1f1
1862,15.184320068359398,0.6075592,tas_toa,MIROC_MIROC6,r3i1p1f1
1863,15.088861083984398,1.1365662,tas_toa,MIROC_MIROC6,r3i1p1f1
1864,15.138238525390648,1.3240967,tas_toa,MIROC_MIROC6,r3i1p1f1
1865,15.179986572265648,1.5445557,tas_toa,MIROC_MIROC6,r3i1p1f1
1866,15.164758300781273,1.35672,tas_toa,MIROC_MIROC6,r3i1p1f1
1867,15.269036865234398,1.5403137,tas_toa,MIROC_MIROC6,r3i1p1f1
1868,15.212579345703148,1.1828766,tas_toa,MIROC_MIROC6,r3i1p1f1
1869,15.162835693359398,1.4542847,tas_toa,MIROC_MIROC6,r3i1p1f1
1870,15.258416748046898,1.3296814,tas_toa,MIROC_MIROC6,r3i1p1f1
1871,15.247094726562523,1.1671295,tas_toa,MIROC_MIROC6,r3i1p1f1
1872,15.253259277343773,1.2627411,tas_toa,MIROC_MIROC6,r3i1p1f1
1873,15.313470458984398,1.0642548,tas_toa,MIROC_MIROC6,r3i1p1f1
1874,15.425836181640648,0.9126129,tas_toa,MIROC_MIROC6,r3i1p1f1
1875,15.321374511718773,1.359436,tas_toa,MIROC_MIROC6,r3i1p1f1
1876,15.187249755859398,1.0255432,tas_toa,MIROC_MIROC6,r3i1p1f1
1877,15.222833251953148,1.2181854,tas_toa,MIROC_MIROC6,r3i1p1f1
1878,15.252587890625023,1.3139038,tas_toa,MIROC_MIROC6,r3i1p1f1
