Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,14.432946777343773,0.4224701,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1851,14.650933837890648,0.08729553,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1852,14.554833984375023,-0.2321167,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1853,14.682946777343773,0.88539124,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1854,14.737359619140648,-0.8901062,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1855,14.504022216796898,-0.3804474,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1856,14.474389648437523,0.7761078,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1857,14.704339599609398,0.09770203,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1858,14.538171386718773,-0.7116394,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1859,14.267633056640648,-0.40898132,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1860,14.204522705078148,0.7150574,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1861,14.209252929687523,0.30889893,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1862,14.261285400390648,0.44096375,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1863,14.575616455078148,1.3477783,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1864,14.716790771484398,-1.142456,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1865,14.457971191406273,-0.39430237,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1866,14.343621826171898,0.19729614,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1867,14.361352539062523,1.0718079,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1868,14.705895996093773,0.04673767,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1869,14.638635253906273,-0.6383362,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1870,14.386712646484398,-0.096847534,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1871,14.462335205078148,0.35113525,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1872,14.449029541015648,-0.48382568,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1873,14.300439453125023,-0.30174255,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1874,14.314416503906273,0.7735138,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1875,14.409875488281273,0.054718018,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1876,14.477685546875023,0.43003845,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1877,14.621423339843773,0.16247559,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1878,14.669335937500023,0.1402893,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1879,14.562493896484398,-0.19404602,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1880,14.597833251953148,0.07614136,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1881,14.465753173828148,-0.7562103,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1882,14.368249511718773,0.51353455,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1883,14.517602539062523,-0.25408936,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1884,14.286462402343773,-0.30882263,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1885,14.466760253906273,-0.25144958,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1886,14.433007812500023,-0.41615295,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1887,14.278985595703148,-0.0957489,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1888,14.381951904296898,0.10960388,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1889,14.449060058593773,0.48686218,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1890,14.576959228515648,0.032485962,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1891,14.604364013671898,-0.2736206,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1892,14.537927246093773,-0.8905945,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1893,14.478631591796898,1.2371826,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1894,14.609887695312523,0.87786865,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1895,14.756799316406273,-0.39968872,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1896,14.552453613281273,-0.034835815,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1897,14.617852783203148,0.9615021,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1898,14.658837890625023,0.0809021,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1899,14.650445556640648,-0.19036865,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1900,14.602380371093773,-0.40856934,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1901,14.678613281250023,0.29776,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1902,14.521966552734398,0.11784363,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1903,14.493249511718773,-0.0345459,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1904,14.646661376953148,-0.27088928,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1905,14.560235595703148,0.35075378,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1906,14.588159179687523,0.25126648,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1907,14.486108398437523,-0.14460754,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1908,14.472039794921898,-0.04660034,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1909,14.659906005859398,-0.438385,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1910,14.437951660156273,-1.0507202,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1911,14.429986572265648,0.4269104,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1912,14.473687744140648,0.0058898926,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1913,14.444085693359398,-1.5205841,tas_toa,NCC_NorESM2-LM,r1i1p1f1
1914,14.124719238281273,-0.580719,tas_toa,NCC_NorESM2-LM,r1i1p1f1
