Year,Surface_Temperature,Run_Type,Model,Simulation
1850,13.995812988281273,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1851,14.015130615234398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1852,13.910302734375023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1853,13.880273437500023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1854,14.145043945312523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1855,14.142053222656273,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1856,13.790643310546898,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1857,13.762261962890648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1858,13.757714843750023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1859,13.785180664062523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1860,13.860162353515648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1861,13.753961181640648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1862,13.773614501953148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1863,13.863122558593773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1864,14.010980224609398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1865,14.069635009765648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1866,14.241815185546898,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1867,14.202569580078148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1868,13.852136230468773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1869,13.822686767578148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1870,13.755731201171898,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1871,13.875421142578148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1872,13.920495605468773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1873,13.910058593750023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1874,14.173181152343773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1875,14.065728759765648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1876,13.898614501953148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1877,14.135736083984398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1878,13.962640380859398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1879,13.841851806640648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1880,13.858178710937523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1881,14.168054199218773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1882,14.040917968750023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1883,13.713922119140648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1884,13.421807861328148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1885,13.389733886718773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1886,13.663537597656273,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1887,13.751794433593773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1888,13.879327392578148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1889,13.894525146484398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1890,13.712548828125023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1891,13.684411621093773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1892,13.814782714843773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1893,13.694512939453148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1894,13.823358154296898,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1895,13.760675048828148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1896,13.840386962890648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1897,13.892541503906273,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1898,13.931207275390648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1899,14.029565429687523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1900,13.976831054687523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1901,13.915582275390648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1902,13.830102539062523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1903,13.833581542968773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1904,13.835748291015648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1905,13.705865478515648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1906,13.732690429687523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1907,13.618920898437523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1908,13.703790283203148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1909,13.745935058593773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1910,13.760308837890648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1911,14.017022705078148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1912,13.915826416015648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1913,13.941979980468773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1914,14.015405273437523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1915,13.894738769531273,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1916,13.791833496093773,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1917,13.877496337890648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1918,13.874993896484398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1919,14.010461425781273,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1920,14.024713134765648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1921,13.950585937500023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1922,13.748834228515648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1923,13.623284912109398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1924,13.623773193359398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1925,13.589044189453148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1926,13.736505126953148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1927,13.824090576171898,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1928,13.810205078125023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1929,13.829553222656273,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1930,14.060693359375023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1931,14.123406982421898,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1932,13.763665771484398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1933,13.918847656250023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1934,14.042687988281273,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1935,13.893670654296898,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1936,13.744409179687523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1937,13.819879150390648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1938,13.979058837890648,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1939,14.059106445312523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1940,14.145898437500023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1941,14.070306396484398,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1942,14.055322265625023,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1943,13.929711914062523,tas_toa,NCC_NorESM2-MM,r1i1p1f1
1944,13.877618408203148,tas_toa,NCC_NorESM2-MM,r1i1p1f1
