Year,Surface_Temperature,Net_TOA_Flux,Run_Type,Model,Simulation
1850,13.600549316406273,-0.086639404,tas_toa,NUIST_NESM3,r1i1p1f1
1851,13.747613525390648,-0.17791748,tas_toa,NUIST_NESM3,r1i1p1f1
1852,13.662408447265648,-0.2869568,tas_toa,NUIST_NESM3,r1i1p1f1
1853,13.534234619140648,-0.2701416,tas_toa,NUIST_NESM3,r1i1p1f1
1854,13.612237548828148,-0.04586792,tas_toa,NUIST_NESM3,r1i1p1f1
1855,13.564569091796898,-0.42182922,tas_toa,NUIST_NESM3,r1i1p1f1
1856,13.583703613281273,0.1081543,tas_toa,NUIST_NESM3,r1i1p1f1
1857,13.601617431640648,-0.12187195,tas_toa,NUIST_NESM3,r1i1p1f1
1858,13.714776611328148,-0.61486816,tas_toa,NUIST_NESM3,r1i1p1f1
1859,13.691430664062523,-0.082458496,tas_toa,NUIST_NESM3,r1i1p1f1
1860,13.618005371093773,0.056015015,tas_toa,NUIST_NESM3,r1i1p1f1
1861,13.641229248046898,-0.6045532,tas_toa,NUIST_NESM3,r1i1p1f1
1862,13.509942626953148,-0.3973999,tas_toa,NUIST_NESM3,r1i1p1f1
1863,13.678582763671898,-0.56140137,tas_toa,NUIST_NESM3,r1i1p1f1
1864,13.549615478515648,0.08930969,tas_toa,NUIST_NESM3,r1i1p1f1
1865,13.623803710937523,-0.18539429,tas_toa,NUIST_NESM3,r1i1p1f1
1866,13.636804199218773,-0.300354,tas_toa,NUIST_NESM3,r1i1p1f1
1867,13.531304931640648,-0.027313232,tas_toa,NUIST_NESM3,r1i1p1f1
1868,13.464868164062523,0.076049805,tas_toa,NUIST_NESM3,r1i1p1f1
1869,13.577996826171898,0.21479797,tas_toa,NUIST_NESM3,r1i1p1f1
1870,13.593041992187523,0.059509277,tas_toa,NUIST_NESM3,r1i1p1f1
1871,13.653405761718773,-0.23258972,tas_toa,NUIST_NESM3,r1i1p1f1
1872,13.483819580078148,-0.044830322,tas_toa,NUIST_NESM3,r1i1p1f1
1873,13.665277099609398,-0.12374878,tas_toa,NUIST_NESM3,r1i1p1f1
1874,13.688714599609398,0.22085571,tas_toa,NUIST_NESM3,r1i1p1f1
1875,13.736138916015648,-0.25675964,tas_toa,NUIST_NESM3,r1i1p1f1
1876,13.642144775390648,-0.34414673,tas_toa,NUIST_NESM3,r1i1p1f1
1877,13.586907958984398,-0.33303833,tas_toa,NUIST_NESM3,r1i1p1f1
1878,13.703912353515648,-0.0107421875,tas_toa,NUIST_NESM3,r1i1p1f1
1879,13.715905761718773,-0.062408447,tas_toa,NUIST_NESM3,r1i1p1f1
1880,13.624810791015648,0.09667969,tas_toa,NUIST_NESM3,r1i1p1f1
1881,13.718743896484398,0.09802246,tas_toa,NUIST_NESM3,r1i1p1f1
1882,13.707849121093773,-0.4067688,tas_toa,NUIST_NESM3,r1i1p1f1
1883,13.603997802734398,-0.46800232,tas_toa,NUIST_NESM3,r1i1p1f1
1884,13.322625732421898,-1.2185822,tas_toa,NUIST_NESM3,r1i1p1f1
1885,13.524072265625023,-0.640213,tas_toa,NUIST_NESM3,r1i1p1f1
1886,13.600091552734398,0.10028076,tas_toa,NUIST_NESM3,r1i1p1f1
1887,13.712091064453148,-0.4519348,tas_toa,NUIST_NESM3,r1i1p1f1
1888,13.713037109375023,-0.59732056,tas_toa,NUIST_NESM3,r1i1p1f1
1889,13.657220458984398,-0.20387268,tas_toa,NUIST_NESM3,r1i1p1f1
1890,13.585870361328148,-0.19741821,tas_toa,NUIST_NESM3,r1i1p1f1
1891,13.614190673828148,-0.48529053,tas_toa,NUIST_NESM3,r1i1p1f1
1892,13.453057861328148,-0.09843445,tas_toa,NUIST_NESM3,r1i1p1f1
1893,13.601068115234398,-0.07624817,tas_toa,NUIST_NESM3,r1i1p1f1
1894,13.678704833984398,0.47247314,tas_toa,NUIST_NESM3,r1i1p1f1
1895,13.799188232421898,-0.21011353,tas_toa,NUIST_NESM3,r1i1p1f1
1896,13.744165039062523,-0.16725159,tas_toa,NUIST_NESM3,r1i1p1f1
1897,13.791284179687523,-0.1665802,tas_toa,NUIST_NESM3,r1i1p1f1
1898,13.796441650390648,-0.13317871,tas_toa,NUIST_NESM3,r1i1p1f1
1899,13.725823974609398,-0.20959473,tas_toa,NUIST_NESM3,r1i1p1f1
1900,13.677972412109398,-0.37876892,tas_toa,NUIST_NESM3,r1i1p1f1
1901,13.598901367187523,-0.055740356,tas_toa,NUIST_NESM3,r1i1p1f1
1902,13.490960693359398,-0.08642578,tas_toa,NUIST_NESM3,r1i1p1f1
1903,13.449853515625023,-0.5782013,tas_toa,NUIST_NESM3,r1i1p1f1
1904,13.548730468750023,-0.43836975,tas_toa,NUIST_NESM3,r1i1p1f1
1905,13.632135009765648,-0.21902466,tas_toa,NUIST_NESM3,r1i1p1f1
1906,13.513879394531273,0.5076904,tas_toa,NUIST_NESM3,r1i1p1f1
1907,13.678277587890648,-0.06163025,tas_toa,NUIST_NESM3,r1i1p1f1
1908,13.762384033203148,-0.109069824,tas_toa,NUIST_NESM3,r1i1p1f1
1909,13.771783447265648,-0.17919922,tas_toa,NUIST_NESM3,r1i1p1f1
1910,13.711389160156273,-0.30795288,tas_toa,NUIST_NESM3,r1i1p1f1
1911,13.649652099609398,-0.31243896,tas_toa,NUIST_NESM3,r1i1p1f1
1912,13.532128906250023,-0.4571991,tas_toa,NUIST_NESM3,r1i1p1f1
1913,13.612268066406273,-0.5145874,tas_toa,NUIST_NESM3,r1i1p1f1
1914,13.516473388671898,0.19551086,tas_toa,NUIST_NESM3,r1i1p1f1
1915,13.612756347656273,0.08100891,tas_toa,NUIST_NESM3,r1i1p1f1
1916,13.706903076171898,0.10916138,tas_toa,NUIST_NESM3,r1i1p1f1
1917,13.838037109375023,-0.21490479,tas_toa,NUIST_NESM3,r1i1p1f1
1918,13.841149902343773,-0.2071228,tas_toa,NUIST_NESM3,r1i1p1f1
1919,13.855950927734398,-0.19932556,tas_toa,NUIST_NESM3,r1i1p1f1
1920,13.800836181640648,0.16955566,tas_toa,NUIST_NESM3,r1i1p1f1
1921,13.880975341796898,-0.4156952,tas_toa,NUIST_NESM3,r1i1p1f1
1922,13.793603515625023,-0.426239,tas_toa,NUIST_NESM3,r1i1p1f1
1923,13.723596191406273,0.033432007,tas_toa,NUIST_NESM3,r1i1p1f1
1924,13.751611328125023,0.006958008,tas_toa,NUIST_NESM3,r1i1p1f1
1925,13.776208496093773,-0.20422363,tas_toa,NUIST_NESM3,r1i1p1f1
1926,13.836755371093773,0.05039978,tas_toa,NUIST_NESM3,r1i1p1f1
1927,13.790612792968773,-0.03138733,tas_toa,NUIST_NESM3,r1i1p1f1
1928,13.874291992187523,-0.15507507,tas_toa,NUIST_NESM3,r1i1p1f1
1929,13.790979003906273,0.010192871,tas_toa,NUIST_NESM3,r1i1p1f1
1930,13.652886962890648,0.13899231,tas_toa,NUIST_NESM3,r1i1p1f1
1931,13.697442626953148,0.17503357,tas_toa,NUIST_NESM3,r1i1p1f1
1932,13.811090087890648,0.5820923,tas_toa,NUIST_NESM3,r1i1p1f1
1933,13.837274169921898,-0.11891174,tas_toa,NUIST_NESM3,r1i1p1f1
1934,13.920709228515648,-0.30204773,tas_toa,NUIST_NESM3,r1i1p1f1
1935,13.907189941406273,-0.57562256,tas_toa,NUIST_NESM3,r1i1p1f1
1936,13.758233642578148,0.32595825,tas_toa,NUIST_NESM3,r1i1p1f1
1937,13.830072021484398,0.024093628,tas_toa,NUIST_NESM3,r1i1p1f1
1938,13.716363525390648,-0.24594116,tas_toa,NUIST_NESM3,r1i1p1f1
1939,13.665673828125023,0.24264526,tas_toa,NUIST_NESM3,r1i1p1f1
1940,13.825036621093773,-0.08532715,tas_toa,NUIST_NESM3,r1i1p1f1
1941,13.879602050781273,0.3058014,tas_toa,NUIST_NESM3,r1i1p1f1
1942,13.863763427734398,-0.48043823,tas_toa,NUIST_NESM3,r1i1p1f1
1943,13.848443603515648,0.1741333,tas_toa,NUIST_NESM3,r1i1p1f1
1944,13.824700927734398,0.5032654,tas_toa,NUIST_NESM3,r1i1p1f1
1945,13.784753417968773,0.015731812,tas_toa,NUIST_NESM3,r1i1p1f1
1946,13.862878417968773,0.65031433,tas_toa,NUIST_NESM3,r1i1p1f1
1947,14.070947265625023,-0.14396667,tas_toa,NUIST_NESM3,r1i1p1f1
1948,14.061608886718773,-0.2750702,tas_toa,NUIST_NESM3,r1i1p1f1
