Year,Temperature_Anomaly,Lower_Temperature_Anomaly_Limit,Upper_Temperature_Anomaly_Limit
1850,-0.21,-0.822,0.402
1851,-0.09,-0.773,0.593
1852,-0.06,-0.74,0.62
1853,-0.07,-0.686,0.546
1854,-0.05,-0.584,0.484
1855,-0.05,-0.625,0.525
1856,-0.17,-0.763,0.423
1857,-0.31,-0.867,0.247
1858,-0.11,-0.594,0.374
1859,0.01,-0.499,0.519
1860,-0.15,-0.658,0.358
1861,-0.23,-0.746,0.286
1862,-0.33,-0.837,0.177
1863,-0.08,-0.626,0.466
1864,-0.12,-0.654,0.414
1865,-0.02,-0.542,0.502
1866,0.02,-0.524,0.564
1867,0.06,-0.507,0.627
1868,0.02,-0.45,0.49
1869,0.01,-0.478,0.498
1870,-0.06,-0.486,0.366
1871,-0.09,-0.516,0.336
1872,-0.06,-0.49,0.37
1873,-0.03,-0.429,0.369
1874,-0.07,-0.453,0.313
1875,-0.12,-0.49,0.25
1876,-0.12,-0.478,0.238
1877,0.26,-0.109,0.629
1878,0.35,-0.001,0.701
1879,-0.0,-0.349,0.349
1880,-0.07,-0.435,0.295
1881,0.05,-0.304,0.404
1882,-0.02,-0.341,0.301
1883,-0.08,-0.396,0.236
1884,-0.24,-0.551,0.071
1885,-0.21,-0.536,0.116
1886,-0.24,-0.539,0.059
1887,-0.27,-0.566,0.026
1888,-0.07,-0.368,0.228
1889,0.06,-0.227,0.347
1890,-0.23,-0.517,0.057
1891,-0.12,-0.414,0.174
1892,-0.18,-0.469,0.109
1893,-0.15,-0.421,0.121
1894,-0.15,-0.427,0.127
1895,-0.09,-0.369,0.189
1896,0.0,-0.276,0.276
1897,0.02,-0.263,0.303
1898,-0.18,-0.469,0.109
1899,-0.01,-0.291,0.271
1900,0.09,-0.191,0.371
1901,0.02,-0.248,0.288
1902,-0.14,-0.404,0.124
1903,-0.24,-0.508,0.028
1904,-0.3,-0.568,-0.032
1905,-0.12,-0.384,0.144
1906,-0.03,-0.296,0.236
1907,-0.2,-0.462,0.062
1908,-0.22,-0.472,0.032
1909,-0.28,-0.529,-0.031
1910,-0.24,-0.482,0.002
1911,-0.25,-0.487,-0.013
1912,-0.18,-0.417,0.057
1913,-0.15,-0.381,0.081
1914,0.03,-0.208,0.268
1915,0.09,-0.156,0.336
1916,-0.15,-0.404,0.104
1917,-0.3,-0.566,-0.034
1918,-0.13,-0.386,0.126
1919,-0.07,-0.332,0.192
1920,-0.01,-0.265,0.245
1921,0.04,-0.213,0.293
1922,-0.04,-0.285,0.205
1923,-0.01,-0.255,0.235
1924,-0.02,-0.267,0.227
1925,0.03,-0.213,0.273
1926,0.16,-0.084,0.404
1927,0.05,-0.194,0.294
1928,0.05,-0.195,0.295
1929,-0.13,-0.373,0.113
1930,0.1,-0.148,0.348
1931,0.16,-0.085,0.405
1932,0.12,-0.121,0.361
1933,-0.07,-0.311,0.171
1934,0.07,-0.169,0.309
1935,0.01,-0.229,0.249
1936,0.08,-0.152,0.312
1937,0.24,-0.002,0.482
1938,0.25,0.014,0.486
1939,0.23,-0.017,0.477
1940,0.31,0.052,0.568
1941,0.26,-0.155,0.675
1942,0.27,-0.147,0.687
1943,0.33,-0.084,0.744
1944,0.43,0.016,0.844
1945,0.3,-0.116,0.716
1946,0.16,-0.149,0.469
1947,0.23,-0.07,0.53
1948,0.13,-0.156,0.416
1949,0.12,-0.131,0.371
1950,0.06,-0.156,0.276
1951,0.24,0.049,0.431
1952,0.31,0.09,0.53
1953,0.38,0.156,0.604
1954,0.19,-0.013,0.393
1955,0.14,-0.044,0.324
1956,0.05,-0.101,0.201
1957,0.28,0.122,0.438
1958,0.28,0.12,0.44
1959,0.27,0.128,0.412
1960,0.21,0.074,0.346
1961,0.28,0.155,0.405
1962,0.23,0.105,0.355
1963,0.27,0.145,0.395
1964,0.01,-0.113,0.133
1965,0.13,-0.007,0.267
1966,0.19,0.076,0.304
1967,0.22,0.115,0.325
1968,0.14,0.031,0.249
1969,0.29,0.19,0.39
1970,0.24,0.156,0.324
1971,0.13,0.043,0.217
