Year,Temperature_Anomaly,Lower_Temperature_Anomaly_Limit,Upper_Temperature_Anomaly_Limit
1880,0.09,-0.049,0.229
1881,0.17,0.036,0.304
1882,0.15,0.013,0.287
1883,0.09,-0.046,0.226
1884,-0.02,-0.161,0.121
1885,-0.07,-0.217,0.077
1886,-0.05,-0.201,0.101
1887,-0.1,-0.236,0.036
1888,0.09,-0.035,0.215
1889,0.16,0.034,0.286
1890,-0.09,-0.213,0.033
1891,0.04,-0.083,0.163
1892,-0.01,-0.135,0.115
1893,-0.05,-0.173,0.073
1894,-0.04,-0.165,0.085
1895,0.04,-0.086,0.166
1896,0.15,0.03,0.27
1897,0.15,0.028,0.272
1898,-0.01,-0.134,0.114
1899,0.09,-0.031,0.211
1900,0.18,0.066,0.294
1901,0.11,0.0,0.22
1902,-0.02,-0.132,0.092
1903,-0.11,-0.228,0.008
1904,-0.21,-0.325,-0.095
1905,-0.0,-0.115,0.115
1906,0.05,-0.063,0.163
1907,-0.12,-0.236,-0.004
1908,-0.16,-0.274,-0.046
1909,-0.22,-0.339,-0.101
1910,-0.17,-0.276,-0.064
1911,-0.17,-0.283,-0.057
1912,-0.1,-0.21,0.01
1913,-0.08,-0.194,0.034
1914,0.11,-0.004,0.224
1915,0.12,0.001,0.239
1916,-0.1,-0.224,0.024
1917,-0.19,-0.323,-0.057
1918,-0.03,-0.152,0.092
1919,-0.01,-0.132,0.112
1920,-0.01,-0.122,0.102
1921,0.08,-0.033,0.193
1922,-0.02,-0.13,0.09
1923,-0.0,-0.106,0.106
1924,-0.0,-0.111,0.111
1925,0.05,-0.062,0.162
1926,0.16,0.051,0.269
1927,0.05,-0.062,0.162
1928,0.07,-0.046,0.186
1929,-0.09,-0.212,0.032
1930,0.11,-0.005,0.225
1931,0.17,0.062,0.278
1932,0.11,-0.004,0.224
1933,-0.01,-0.12,0.1
1934,0.15,0.04,0.26
1935,0.07,-0.04,0.18
1936,0.12,0.007,0.233
1937,0.24,0.133,0.347
1938,0.27,0.156,0.384
1939,0.25,0.143,0.357
1940,0.39,0.283,0.497
1941,0.45,0.335,0.565
1942,0.33,0.224,0.436
1943,0.36,0.253,0.467
1944,0.47,0.367,0.573
1945,0.36,0.258,0.462
1946,0.2,0.115,0.285
1947,0.24,0.161,0.319
1948,0.16,0.08,0.24
1949,0.16,0.083,0.237
1950,0.1,0.034,0.166
1951,0.2,0.135,0.265
1952,0.28,0.212,0.348
1953,0.35,0.284,0.416
1954,0.14,0.075,0.205
1955,0.13,0.06,0.2
1956,0.08,0.007,0.153
1957,0.32,0.251,0.389
1958,0.33,0.264,0.396
1959,0.3,0.235,0.365
1960,0.24,0.174,0.306
1961,0.33,0.265,0.395
1962,0.3,0.233,0.367
1963,0.32,0.257,0.383
1964,0.07,0.01,0.13
1965,0.16,0.1,0.22
1966,0.21,0.147,0.273
1967,0.25,0.185,0.315
1968,0.19,0.127,0.253
1969,0.32,0.245,0.395
1970,0.3,0.241,0.359
1971,0.19,0.131,0.249
1972,0.28,0.218,0.342
1973,0.43,0.375,0.485
1974,0.2,0.149,0.251
1975,0.26,0.205,0.315
1976,0.17,0.119,0.221
1977,0.45,0.399,0.501
1978,0.34,0.291,0.389
1979,0.43,0.379,0.481
1980,0.53,0.484,0.576
1981,0.59,0.529,0.651
1982,0.41,0.358,0.462
1983,0.58,0.531,0.629
1984,0.43,0.386,0.474
1985,0.39,0.347,0.433
1986,0.45,0.406,0.494
1987,0.59,0.544,0.636
1988,0.66,0.615,0.705
1989,0.54,0.486,0.594
1990,0.72,0.667,0.773
1991,0.67,0.62,0.72
1992,0.49,0.445,0.535
1993,0.5,0.455,0.545
1994,0.58,0.533,0.627
1995,0.71,0.658,0.762
1996,0.6,0.56,0.64
1997,0.74,0.695,0.785
1998,0.88,0.836,0.924
1999,0.65,0.59,0.71
2000,0.66,0.611,0.709
2001,0.8,0.75,0.85
2002,0.9,0.849,0.951
2003,0.89,0.843,0.937
2004,0.8,0.755,0.845
2005,0.95,0.9,1.0
2006,0.91,0.858,0.962
2007,0.93,0.87,0.99
2008,0.81,0.756,0.864
2009,0.93,0.888,0.972
2010,1.0,0.952,1.048
2011,0.88,0.83,0.93
2012,0.92,0.872,0.968
2013,0.95,0.901,0.999
2014,1.02,0.972,1.068
2015,1.17,1.114,1.226
2016,1.28,1.226,1.334
2017,1.19,1.136,1.244
2018,1.12,1.066,1.174
2019,1.25,1.196,1.304
2020,1.28,1.226,1.334
2021,1.12,1.066,1.174
2022,1.16,1.106,1.214
2023,1.44,1.386,1.494
2024,1.55,1.496,1.604
