Year,Temperature_Anomaly,Lower_Temperature_Anomaly_Limit,Upper_Temperature_Anomaly_Limit
1850,-0.08,-0.252,0.092
1851,0.11,-0.069,0.289
1852,0.11,-0.07,0.29
1853,0.07,-0.09,0.23
1854,0.05,-0.091,0.191
1855,0.04,-0.102,0.182
1856,0.02,-0.128,0.168
1857,-0.13,-0.279,0.019
1858,-0.05,-0.198,0.098
1859,0.06,-0.083,0.203
1860,-0.05,-0.199,0.099
1861,-0.09,-0.258,0.078
1862,-0.2,-0.367,-0.033
1863,-0.0,-0.19,0.19
1864,-0.13,-0.313,0.053
1865,0.01,-0.182,0.202
1866,-0.0,-0.181,0.181
1867,-0.02,-0.216,0.176
1868,-0.01,-0.188,0.168
1869,0.02,-0.14,0.18
1870,0.01,-0.131,0.151
1871,-0.03,-0.176,0.116
1872,0.01,-0.125,0.145
1873,-0.0,-0.131,0.131
1874,-0.03,-0.164,0.104
1875,-0.04,-0.178,0.098
1876,-0.08,-0.219,0.059
1877,0.24,0.111,0.369
1878,0.33,0.21,0.45
1879,0.04,-0.09,0.17
1880,0.02,-0.104,0.144
1881,0.11,-0.016,0.236
1882,0.04,-0.085,0.165
1883,-0.01,-0.124,0.104
1884,-0.15,-0.26,-0.04
1885,-0.13,-0.242,-0.018
1886,-0.08,-0.182,0.022
1887,-0.16,-0.278,-0.042
1888,-0.04,-0.154,0.074
1889,0.09,-0.032,0.212
1890,-0.17,-0.296,-0.044
1891,-0.06,-0.196,0.076
1892,-0.17,-0.307,-0.033
1893,-0.15,-0.287,-0.013
1894,-0.14,-0.282,0.002
1895,-0.11,-0.243,0.023
1896,0.06,-0.073,0.193
1897,0.08,-0.059,0.219
1898,-0.15,-0.282,-0.018
1899,-0.02,-0.151,0.111
1900,0.11,-0.022,0.242
1901,0.05,-0.085,0.185
1902,-0.1,-0.234,0.034
1903,-0.19,-0.315,-0.065
1904,-0.26,-0.387,-0.133
1905,-0.07,-0.193,0.053
1906,0.02,-0.106,0.146
1907,-0.16,-0.276,-0.044
1908,-0.17,-0.286,-0.054
1909,-0.2,-0.308,-0.092
1910,-0.19,-0.305,-0.075
1911,-0.2,-0.312,-0.088
1912,-0.14,-0.243,-0.037
1913,-0.13,-0.24,-0.02
1914,0.08,-0.028,0.188
1915,0.15,0.032,0.268
1916,-0.08,-0.205,0.045
1917,-0.2,-0.334,-0.066
1918,-0.08,-0.222,0.062
1919,0.01,-0.128,0.148
1920,0.04,-0.093,0.173
1921,0.1,-0.024,0.224
1922,0.0,-0.111,0.111
1923,0.02,-0.088,0.128
1924,0.03,-0.079,0.139
1925,0.06,-0.053,0.173
1926,0.22,0.112,0.328
1927,0.11,0.007,0.213
1928,0.13,0.019,0.241
1929,-0.05,-0.16,0.06
1930,0.16,0.046,0.274
1931,0.24,0.131,0.349
1932,0.19,0.084,0.296
