Year,Temperature_Anomaly,Lower_Temperature_Anomaly_Limit,Upper_Temperature_Anomaly_Limit
1850,0.05,-0.102,0.202
1851,0.16,0.011,0.309
1852,0.2,0.052,0.348
1853,0.14,-0.01,0.29
1854,0.18,0.03,0.33
1855,0.17,0.019,0.321
1856,0.1,-0.049,0.249
1857,0.05,-0.094,0.194
1858,0.07,-0.072,0.212
1859,0.2,0.057,0.343
1860,0.02,-0.123,0.163
1861,-0.04,-0.182,0.102
1862,-0.1,-0.242,0.042
1863,0.04,-0.102,0.182
1864,0.04,-0.097,0.177
1865,0.16,0.025,0.295
1866,0.14,0.002,0.278
1867,0.05,-0.086,0.186
1868,0.11,-0.024,0.244
1869,0.18,0.047,0.313
1870,0.08,-0.054,0.214
1871,0.09,-0.039,0.219
1872,0.05,-0.075,0.175
1873,0.05,-0.074,0.174
1874,0.02,-0.102,0.142
1875,0.03,-0.092,0.152
1876,0.01,-0.116,0.136
1877,0.36,0.237,0.483
1878,0.37,0.25,0.49
1879,0.11,-0.01,0.23
1880,0.07,-0.053,0.193
1881,0.15,0.025,0.275
1882,0.09,-0.035,0.215
1883,0.06,-0.066,0.186
1884,-0.05,-0.182,0.082
1885,-0.04,-0.178,0.098
1886,-0.03,-0.17,0.11
1887,-0.09,-0.231,0.051
1888,0.15,0.011,0.289
1889,0.2,0.057,0.343
1890,-0.08,-0.214,0.054
1891,0.03,-0.098,0.158
1892,-0.01,-0.133,0.113
1893,-0.08,-0.2,0.04
1894,-0.08,-0.199,0.039
1895,0.04,-0.079,0.159
1896,0.14,0.022,0.258
1897,0.16,0.044,0.276
1898,-0.0,-0.116,0.116
1899,0.1,-0.016,0.216
1900,0.19,0.075,0.305
1901,0.14,0.023,0.257
1902,0.03,-0.083,0.143
1903,-0.11,-0.223,0.003
1904,-0.18,-0.294,-0.066
1905,-0.0,-0.112,0.112
1906,0.09,-0.022,0.202
1907,-0.09,-0.202,0.022
1908,-0.17,-0.284,-0.056
1909,-0.17,-0.293,-0.047
1910,-0.12,-0.254,0.014
1911,-0.15,-0.292,-0.008
1912,-0.08,-0.214,0.054
1913,-0.07,-0.201,0.061
1914,0.11,-0.018,0.238
1915,0.17,0.043,0.297
1916,-0.05,-0.171,0.071
1917,-0.18,-0.295,-0.065
1918,-0.05,-0.163,0.063
1919,0.02,-0.084,0.124
1920,0.02,-0.083,0.123
1921,0.08,-0.023,0.183
1922,0.02,-0.083,0.123
1923,0.0,-0.106,0.106
1924,0.02,-0.081,0.121
1925,0.05,-0.052,0.152
1926,0.18,0.078,0.282
1927,0.08,-0.024,0.184
1928,0.09,-0.013,0.193
1929,-0.07,-0.173,0.033
1930,0.14,0.032,0.248
1931,0.2,0.097,0.303
1932,0.13,0.029,0.231
1933,0.01,-0.092,0.112
1934,0.15,0.049,0.251
1935,0.1,-0.003,0.203
1936,0.14,0.035,0.245
1937,0.24,0.135,0.345
1938,0.26,0.154,0.366
1939,0.27,0.16,0.38
1940,0.4,0.296,0.504
1941,0.48,0.376,0.584
1942,0.34,0.236,0.444
1943,0.32,0.219,0.421
1944,0.49,0.392,0.588
1945,0.4,0.305,0.495
1946,0.21,0.113,0.307
1947,0.25,0.153,0.347
1948,0.18,0.085,0.275
1949,0.19,0.097,0.283
1950,0.12,0.026,0.214
1951,0.22,0.123,0.317
1952,0.29,0.193,0.387
1953,0.35,0.254,0.446
1954,0.16,0.068,0.252
1955,0.12,0.032,0.208
1956,0.09,0.009,0.171
1957,0.31,0.228,0.392
1958,0.34,0.257,0.423
1959,0.33,0.248,0.412
1960,0.25,0.168,0.332
1961,0.33,0.248,0.412
1962,0.3,0.215,0.385
1963,0.32,0.234,0.406
1964,0.08,-0.001,0.161
1965,0.17,0.091,0.249
1966,0.22,0.141,0.299
1967,0.26,0.176,0.344
1968,0.19,0.108,0.272
1969,0.35,0.27,0.43
1970,0.3,0.22,0.38
1971,0.19,0.108,0.272
1972,0.31,0.228,0.392
1973,0.45,0.371,0.529
1974,0.2,0.123,0.277
1975,0.26,0.187,0.333
1976,0.2,0.128,0.272
1977,0.45,0.378,0.522
1978,0.35,0.278,0.422
1979,0.45,0.378,0.522
1980,0.56,0.488,0.632
1981,0.6,0.528,0.672
1982,0.42,0.347,0.493
1983,0.6,0.528,0.672
1984,0.44,0.367,0.513
1985,0.4,0.324,0.476
1986,0.47,0.392,0.548
1987,0.59,,
1988,0.65,,
1989,0.53,,
1990,0.7,,
1991,0.67,,
1992,0.49,,
1993,0.52,,
1994,0.58,,
1995,0.73,,
1996,0.6,,
1997,0.74,,
1998,0.88,,
1999,0.66,,
2000,0.66,,
2001,0.8,,
2002,0.87,,
2003,0.88,,
2004,0.81,,
2005,0.94,,
2006,0.9,,
2007,0.89,,
2008,0.79,,
2009,0.92,,
2010,0.98,,
2011,0.86,,
2012,0.9,,
2013,0.93,,
2014,1.0,,
2015,1.16,,
2016,1.28,,
2017,1.19,,
2018,1.12,,
2019,1.23,,
2020,1.27,,
2021,1.12,,
2022,1.15,,
2023,1.44,,
2024,1.54,,
